Rank,Previous,School,Conference,Record,Road,Neutral,Home,Quad 1,Quad 2,Quad 3,Quad 4
348,348,USC Upstate,Big South,7-21,4-11,0-1,3-9,0-3,0-1,0-0,7-17
349,349,Saint Francis,NEC,11-19,6-11,0-0,5-8,0-1,0-1,0-3,11-14
350,350,CSUN,Big West,3-25,2-13,0-0,1-12,0-1,0-0,0-0,3-24
351,351,Ark.-Pine Bluff,SWAC,1-25,0-16,0-0,1-9,0-2,0-0,0-1,1-22
352,352,Presbyterian,Big South,5-24,4-10,0-3,1-11,0-0,0-2,0-1,5-21
353,353,Niagara,MAAC,2-25,1-14,0-0,1-11,0-1,0-1,0-3,2-20
354,354,American,Patriot,1-29,0-14,0-2,1-13,0-0,0-1,0-1,1-27
355,355,UNC Asheville,Big South,2-27,1-14,1-1,0-12,0-0,0-1,0-0,2-26
356,356,Alabama St.,SWAC,4-24,1-15,0-2,3-7,0-5,0-3,0-0,4-16
357,357,Le Moyne,NEC,7-24,1-15,0-2,6-7,0-1,0-3,0-1,7-19
358,358,Northeastern,CAA,3-25,1-14,0-1,2-10,0-1,0-1,0-1,3-22
359,359,Wagner,NEC,6-21,2-13,0-1,4-7,0-0,0-2,0-1,6-18
360,360,LIU,NEC,6-24,0-15,0-0,6-9,0-1,0-0,0-2,6-21
361,361,South Carolina St.,MEAC,2-29,0-15,0-3,2-11,0-1,0-1,0-3,2-24
362,362,Delaware St.,MEAC,1-24,0-14,0-1,1-9,0-1,0-1,0-2,1-20
