Rank,Previous,School,Conference,Record,Road,Neutral,Home,Quad 1,Quad 2,Quad 3,Quad 4
192,192,Saint Mary's (CA),WCC,14-16,5-9,2-1,7-6,0-1,0-0,0-5,14-10
193,193,Northwestern St.,Southland,13-15,6-9,1-1,6-5,0-1,0-1,0-6,13-7
194,194,Central Mich.,MAC,13-17,6-8,1-2,6-7,0-2,0-1,0-4,13-10
195,195,Ga. Southern,Sun Belt,15-18,4-10,4-2,7-6,0-0,0-3,0-2,15-13
196,196,Nicholls,Southland,16-14,7-7,3-1,6-6,0-0,0-0,2-4,14-10
197,197,Idaho St.,Big Sky,12-17,4-10,2-2,6-5,0-2,0-3,0-4,12-8
198,198,St. Thomas (MN),Summit League,14-14,6-8,0-1,8-5,0-2,0-1,0-2,14-9
199,199,High Point,Big South,19-11,8-5,3-3,8-3,0-1,0-0,1-0,18-10
200,200,Fordham,Atlantic 10,15-14,5-9,0-2,10-3,0-1,1-3,1-1,13-9
201,201,Saint Louis,Atlantic 10,15-19,4-10,2-3,9-6,0-2,0-6,1-5,14-6
202,202,ULM,Sun Belt,9-19,3-11,1-2,5-6,0-2,0-2,0-4,9-11
203,203,Mount St. Mary's,MAAC,15-16,7-9,1-1,7-6,0-2,0-4,1-0,14-10
204,204,Memphis,The American,7-23,1-13,0-1,6-9,0-2,0-5,1-5,6-11
205,205,UIW,Southland,14-13,6-7,1-1,7-5,0-2,0-1,0-5,14-5
206,206,Utah Valley,WAC,16-12,6-6,2-2,8-4,0-0,0-2,0-2,16-8
207,207,Northern Colo.,Big Sky,11-17,3-11,1-1,7-5,0-0,0-4,1-2,10-11
208,209,Bradley,MVC,13-19,4-12,2-1,7-6,0-1,0-5,0-5,13-8
209,208,Coppin St.,MEAC,17-14,9-7,2-3,6-4,0-3,0-3,0-3,17-5
210,210,Georgia St.,Sun Belt,15-16,6-8,2-1,7-7,0-2,0-2,2-1,13-11
211,211,Sacramento St.,Big Sky,13-18,4-9,2-3,7-6,0-0,1-1,0-2,12-15
212,212,UT Martin,OVC,12-19,5-8,0-3,7-8,0-2,0-1,1-2,11-14
213,213,Drexel,CAA,16-13,4-9,1-2,11-2,0-1,0-2,0-2,16-8
214,214,Manhattan,MAAC,16-15,5-10,2-1,9-4,0-0,0-3,0-3,16-9
215,215,Eastern Wash.,Big Sky,9-20,2-12,0-2,7-6,0-2,0-2,0-4,9-12
216,216,UTRGV,Southland,14-16,6-9,0-1,8-6,0-1,0-2,2-3,12-10
217,217,Alabama A&M;,SWAC,20-10,11-4,1-2,8-4,0-2,0-0,0-1,20-7
218,218,Santa Clara,WCC,12-17,6-6,1-3,5-8,0-1,0-0,1-4,11-12
219,219,Maine,America East,14-16,4-12,1-0,9-4,0-1,0-2,1-3,13-10
220,220,UC Santa Barbara,Big West,16-13,7-6,1-1,8-6,0-0,0-1,0-0,16-12
221,221,UC Riverside,Big West,15-15,6-11,1-1,8-3,0-0,0-1,0-0,15-14
222,223,Western Ill.,OVC,14-16,5-10,2-1,7-5,0-0,0-0,0-3,14-13
223,222,Nevada,Mountain West,9-21,3-9,0-4,6-8,0-1,0-4,0-5,9-11
224,224,Valparaiso,MVC,11-19,3-11,1-2,7-6,0-0,0-5,1-6,10-8
225,225,App State,Sun Belt,11-17,5-10,0-1,6-6,0-1,0-3,0-2,11-11
226,226,North Dakota,Summit League,9-19,2-10,1-3,6-6,0-1,0-4,0-3,9-11
227,227,LMU (CA),WCC,12-16,6-8,1-1,5-7,0-0,0-1,0-5,12-10
228,228,Jacksonville,ASUN,13-17,4-12,0-2,9-3,0-3,0-2,0-2,13-10
229,229,UMES,MEAC,10-17,4-7,2-4,4-6,0-2,0-4,0-2,10-9
230,230,Bellarmine,ASUN,16-15,9-8,2-0,5-7,0-1,0-1,0-1,16-12
231,231,Fla. Atlantic,The American,11-21,2-12,2-1,7-8,0-1,0-4,0-3,11-13
232,232,Delaware,CAA,13-17,5-8,2-2,6-7,0-0,0-0,0-2,13-15
233,233,Jacksonville St.,CUSA,8-20,1-13,0-1,7-6,0-0,0-4,0-3,8-13
234,234,Kennesaw St.,CUSA,11-18,4-11,1-1,6-6,0-0,0-6,0-2,11-10
235,235,Weber St.,Big Sky,12-16,6-10,0-1,6-5,0-1,0-3,0-1,12-11
236,237,Little Rock,OVC,13-16,6-9,0-1,7-6,0-1,0-4,0-1,13-10
237,236,George Washington,Atlantic 10,12-18,5-7,2-2,5-9,0-2,0-1,1-2,11-13
238,238,Siena,MAAC,17-13,7-7,0-1,10-5,0-1,0-1,0-1,17-10
239,239,A&M-Corpus; Christi,Southland,11-17,6-8,2-1,3-8,0-1,0-1,1-4,10-11
240,240,Long Beach St.,Big West,15-14,7-7,0-1,8-6,0-2,0-0,0-1,15-11
241,242,Austin Peay,ASUN,12-17,6-11,1-1,5-5,0-2,0-3,0-0,12-12
242,241,NIU,MAC,12-17,6-9,1-0,5-8,0-1,0-1,1-3,11-12
243,243,Furman,SoCon,13-16,6-9,2-3,5-4,0-1,0-0,1-1,12-14
244,244,Northern Ky.,Horizon,10-21,5-12,0-1,5-8,0-1,0-2,0-6,10-12
245,245,Charlotte,The American,11-21,4-10,2-2,5-9,0-1,0-1,0-8,11-11
246,246,Marist,MAAC,16-15,7-9,1-1,8-5,0-0,0-3,0-2,16-10
247,247,Towson,CAA,12-20,4-10,3-2,5-8,0-3,0-1,0-3,12-13
248,248,Omaha,Summit League,12-17,5-10,2-1,5-6,0-3,0-2,0-3,12-9
249,249,Texas St.,Sun Belt,11-17,8-6,0-1,3-10,0-1,0-1,0-3,11-12
250,250,Monmouth,CAA,16-15,5-10,1-1,10-4,0-1,0-0,1-1,15-13
251,251,Longwood,Big South,19-11,9-5,2-1,8-5,0-0,0-2,0-0,19-9
252,252,Cornell,Ivy League,7-20,4-12,0-0,3-8,0-2,0-4,0-4,7-10
253,253,Xavier,Big East,7-24,0-12,2-2,5-10,0-1,0-5,0-10,7-8
254,254,Robert Morris,Horizon,14-16,6-8,0-1,8-7,0-0,0-1,0-7,14-8
255,255,Western Caro.,SoCon,10-17,6-10,0-1,4-6,0-2,0-1,0-0,10-14
256,257,Cal Poly,Big West,12-18,7-9,1-1,4-8,0-2,0-2,0-0,12-14
257,256,Denver,Summit League,7-20,1-11,0-1,6-8,0-1,0-2,0-1,7-16
258,258,Bryant,America East,16-14,6-10,0-1,10-3,0-0,0-2,0-3,16-9
259,259,Western Mich.,MAC,11-18,6-9,0-1,5-8,0-1,0-2,0-6,11-9
260,260,Binghamton,America East,12-15,5-10,0-0,7-5,0-0,0-0,0-4,12-11
261,261,Grambling,SWAC,12-15,6-10,0-2,6-3,0-3,0-1,0-2,12-9
262,262,Sam Houston,CUSA,10-17,4-10,1-1,5-6,0-0,0-4,0-5,10-8
263,263,Merrimack,MAAC,14-17,3-13,1-1,10-3,0-0,0-3,0-3,14-11
264,264,California Baptist,WAC,12-19,6-9,0-2,6-8,0-2,0-4,0-2,12-11
265,265,South Dakota,Summit League,8-20,1-10,1-3,6-7,0-1,0-3,0-4,8-12
266,266,Elon,CAA,14-15,7-8,0-1,7-6,0-1,0-1,0-1,14-12
267,267,Hofstra,CAA,14-16,6-9,0-1,8-6,0-0,0-1,0-3,14-12
268,268,North Ala.,ASUN,11-17,4-12,0-0,7-5,0-1,0-0,0-3,11-13
269,269,Detroit Mercy,Horizon,14-15,4-10,0-0,10-5,0-2,0-1,0-5,14-7
270,270,UTEP,CUSA,9-19,3-10,0-1,6-8,0-0,0-3,0-6,9-10
271,271,Southern Miss.,Sun Belt,8-21,2-11,0-4,6-6,0-1,0-3,0-2,8-15
272,273,Stetson,ASUN,14-15,3-11,1-1,10-3,0-0,0-1,0-2,14-12
273,272,Samford,SoCon,8-19,4-11,0-2,4-6,0-4,0-0,0-1,8-14
274,274,Kansas City,Summit League,9-21,4-13,1-2,4-6,0-2,0-1,0-3,9-15
275,277,William & Mary,CAA,14-18,4-12,6-0,4-6,0-2,0-1,0-0,14-15
276,275,FIU,CUSA,10-19,2-9,1-1,7-9,0-0,0-3,1-2,9-14
277,276,Stony Brook,CAA,11-18,2-12,0-1,9-5,0-1,0-2,0-2,11-13
278,278,NJIT,America East,11-19,4-12,0-0,7-7,0-0,0-1,0-3,11-15
279,279,UNCW,CAA,12-18,4-10,2-1,6-7,0-1,0-1,0-3,12-13
280,280,San Jose St.,Mountain West,8-22,2-10,1-2,5-10,0-0,0-4,1-3,7-15
281,281,West Ga.,ASUN,11-17,5-11,0-1,6-5,0-2,0-1,0-1,11-13
