TeamID,HomeWins,HomeLosses,AwayWins,AwayLosses,NeutralWins,NeutralLosses,TotalWins,TotalLosses,OpponentHomeWins,OpponentHomeLosses,OpponentAwayWins,OpponentAwayLosses,OpponentNeutralWins,OpponentNeutralLosses,OpponentTotalWins,OpponentTotalLosses,TeamName,Ranking,Quadrant
116,17,2,11,0,3,1,31,3,227,96,108,158,64,42,399,296,Houston,1.0,1
58,15,2,6,5,4,1,25,8,206,93,96,158,36,47,338,298,UConn,2.0,1
240,15,2,8,3,6,0,29,5,259,101,102,163,58,47,419,311,Purdue,3.0,1
10,15,2,6,4,7,0,28,6,235,77,96,158,50,47,381,282,Arizona,4.0,1
17,14,2,4,8,2,2,20,12,303,108,113,167,63,58,479,333,Auburn,5.0,1
129,13,3,3,8,3,2,19,13,224,90,80,159,50,37,354,286,Iowa St.,6.0,1
297,14,2,4,6,5,2,23,10,298,100,109,186,67,49,474,335,Tennessee,7.0,1
209,12,3,4,7,4,3,20,13,276,107,112,168,59,52,447,327,North Carolina,8.0,1
4,15,0,9,3,5,2,29,5,304,86,123,167,74,53,501,306,Alabama,9.0,1
76,16,0,4,6,6,2,26,8,267,110,110,176,53,48,430,334,Duke,10.0,1
61,13,2,5,6,3,4,21,12,225,93,95,148,51,38,371,279,Creighton,11.0,1
35,11,5,2,7,4,3,17,15,211,93,101,151,41,51,353,295,BYU,12.0,1
122,15,2,3,7,2,3,20,12,259,107,99,172,52,49,410,328,Illinois,13.0,1
161,16,1,8,4,4,1,28,6,204,93,87,167,37,37,328,297,Marquette,14.0,1
20,15,3,5,5,2,2,22,10,243,65,97,161,71,37,411,263,Baylor,15.0,1
284,15,2,6,2,4,3,25,7,231,92,121,133,52,50,404,275,Saint Mary's (CA),16.0,1
106,14,1,7,2,6,2,27,5,242,84,113,156,53,38,408,278,Gonzaga,17.0,1
139,14,4,6,4,1,3,21,11,283,98,108,188,63,57,454,343,Kentucky,18.0,1
135,15,1,7,4,5,2,27,7,251,78,92,146,65,37,408,261,Kansas,19.0,1
257,14,1,8,2,4,3,26,6,218,86,103,133,53,41,374,260,San Diego St.,20.0,1
356,10,6,5,6,2,2,17,14,261,90,88,168,51,53,400,311,Wisconsin,21.0,1
201,14,4,5,6,2,1,21,11,203,93,102,156,59,44,364,293,New Mexico,22.0,1
68,14,2,5,6,3,4,22,12,265,131,108,206,48,61,421,398,Dayton,23.0,1
173,12,2,5,6,2,4,19,12,264,91,99,155,49,53,412,299,Michigan St.,24.0,1
55,12,4,2,9,3,3,17,16,223,90,106,149,59,43,388,282,Colorado,25.0,1
25,14,1,6,6,3,2,23,9,215,97,103,150,45,51,363,298,Boise St.,26.0,1
303,11,6,3,7,2,3,16,16,209,101,77,190,53,42,339,333,Texas Tech,27.0,1
126,10,4,7,6,4,2,21,12,173,100,84,188,36,41,293,329,Indiana St.,28.0,1
