TeamID,HomeWins,HomeLosses,AwayWins,AwayLosses,NeutralWins,NeutralLosses,TotalWins,TotalLosses,OpponentHomeWins,OpponentHomeLosses,OpponentAwayWins,OpponentAwayLosses,OpponentNeutralWins,OpponentNeutralLosses,OpponentTotalWins,OpponentTotalLosses,TeamName
307,13,1,6,6,4,2,23,9,222,133,123,199,38,45,383,377,Tulsa
311,10,2,10,5,3,1,23,8,139,120,93,175,22,20,254,315,UC_Irvine
174,11,4,8,3,4,1,23,8,248,124,131,172,54,49,433,345,Mississippi
93,13,3,7,4,3,3,23,10,250,130,123,176,53,43,426,349,Florida_St
100,11,1,11,5,0,1,22,7,184,131,131,184,40,36,355,351,George_Mason
172,13,2,6,4,3,2,22,8,223,119,113,175,46,36,382,330,Michigan_St
197,13,3,5,6,4,2,22,11,227,106,114,162,43,40,384,308,Nebraska
132,11,3,8,6,3,2,22,11,193,114,145,172,42,31,380,317,James_Madison
273,12,2,8,4,2,0,22,6,116,106,75,163,18,25,209,294,Southern_Indiana
221,13,2,8,3,1,4,22,9,257,86,126,145,49,39,432,270,Oklahoma
54,11,3,7,4,4,2,22,9,235,96,115,133,44,34,394,263,Colorado
252,11,2,11,5,0,2,22,9,142,119,101,179,16,17,259,315,Sacred_Heart
259,10,1,11,5,1,2,22,8,164,129,91,169,28,27,283,325,Santa_Clara
211,11,2,9,5,2,1,22,8,193,133,119,177,37,47,349,357,North_Texas
101,9,5,10,5,3,1,22,11,158,126,105,155,24,33,287,314,Georgetown
333,12,5,8,3,2,1,22,9,255,122,142,182,59,41,456,345,Vanderbilt
140,9,1,11,3,2,2,22,6,125,86,71,139,24,22,220,247,Lamar
223,11,4,9,4,1,1,21,9,170,121,139,165,40,29,349,315,Old_Dominion
175,11,5,7,5,3,1,21,11,273,112,147,187,60,48,480,347,Mississippi_St
180,9,5,10,3,2,1,21,9,132,108,112,146,28,22,272,276,Montana
243,10,5,6,8,5,1,21,14,226,123,171,197,33,36,430,356,Rhode_Island
335,13,3,8,5,0,3,21,11,165,106,116,167,11,27,292,300,Vermont
179,8,6,12,2,0,1,20,9,148,144,127,186,22,37,297,367,Monmouth_NJ
304,9,4,7,6,4,1,20,11,163,136,136,182,23,36,322,354,Towson
17,14,3,5,7,1,1,20,11,240,136,126,171,53,40,419,347,Auburn
76,10,3,8,6,2,3,20,12,203,122,147,182,35,43,385,347,Duquesne
110,13,3,7,6,0,1,20,10,138,102,108,145,22,26,268,273,Hawaii
200,13,4,7,4,0,3,20,11,151,131,101,195,28,34,280,360,New_Mexico
171,11,4,5,6,4,3,20,13,232,111,120,178,51,32,403,321,Michigan
256,10,4,5,9,5,0,20,13,160,119,110,162,26,23,296,304,San_Diego_St
294,10,6,8,4,2,2,20,12,202,143,131,179,33,44,366,366,Temple
121,12,2,6,8,2,1,20,11,146,119,105,160,33,30,284,309,Illinois_St
326,11,3,7,5,2,2,20,10,196,100,114,146,45,24,355,270,Utah
75,14,3,5,7,1,1,20,11,269,97,151,131,57,43,477,271,Duke
203,11,3,7,7,2,3,20,13,173,91,112,156,30,26,315,273,Niagara
265,10,4,8,6,2,2,20,12,148,98,114,140,27,17,289,255,SF_Austin
127,13,2,5,6,2,3,20,11,241,88,129,132,50,38,420,258,Iowa_St
208,14,2,3,6,2,4,19,12,265,119,149,150,45,46,459,315,North_Carolina
295,11,4,5,5,3,3,19,12,273,87,151,132,58,41,482,260,Tennessee
229,12,4,5,6,2,2,19,12,241,107,102,172,44,43,387,322,Penn_St
169,14,4,4,6,1,2,19,12,244,118,122,173,42,40,408,331,Miami_FL
