Rank,Previous,School,Conference,Record,Road,Neutral,Home,Quad 1,Quad 2,Quad 3,Quad 4
24,24,Michigan St.,Big Ten,19-14,3-7,2-3,14-4,3-9,6-5,6-0,4-0
25,25,Colorado,Pac-12,24-10,4-7,4-2,16-1,4-5,6-5,7-0,7-0
26,27,Boise St.,Mountain West,20-10,7-3,2-4,11-3,6-5,3-4,3-1,8-0
27,28,Texas Tech,Big 12,23-10,4-6,4-2,15-2,6-9,4-1,6-0,7-0
28,29,Indiana St.,MVC,27-6,9-4,6-1,12-1,1-4,4-1,10-0,12-1
29,26,Florida,SEC,24-11,3-7,7-3,14-1,6-8,4-2,9-1,5-0
30,30,Texas,Big 12,20-12,4-6,2-2,14-4,5-9,3-2,5-1,7-0
31,31,Mississippi St.,SEC,21-13,2-8,8-1,11-4,4-9,4-3,7-0,6-1
32,32,St. John's (NY),Big East,20-13,5-6,2-2,13-5,4-10,6-2,3-1,7-0
33,33,Nebraska,Big Ten,23-10,3-8,2-1,18-1,4-7,5-3,7-0,7-0
34,34,Nevada,Mountain West,25-7,8-3,3-2,14-2,6-6,2-0,8-1,9-0
35,35,Clemson,ACC,21-11,6-6,3-1,12-4,5-5,5-5,6-1,5-0
36,36,Colorado St.,Mountain West,22-10,4-7,5-1,13-2,6-7,3-2,7-1,6-0
37,37,Cincinnati,Big 12,20-14,4-7,2-2,14-5,4-11,3-1,4-2,9-0
38,38,Utah St.,Mountain West,25-6,8-4,5-1,12-1,4-5,4-1,7-0,10-0
39,39,Fla. Atlantic,AAC,25-8,5-5,7-2,13-1,2-2,8-3,8-1,7-2
40,40,Pittsburgh,ACC,22-11,7-4,2-2,13-5,4-6,5-3,6-2,7-0
41,41,Villanova,Big East,18-15,4-8,4-2,10-5,4-11,5-1,3-3,6-0
42,42,TCU,Big 12,21-12,6-5,3-3,12-4,5-11,3-1,5-0,8-0
43,43,Wake Forest,ACC,20-13,2-9,2-3,16-1,2-8,7-4,5-1,6-0
44,44,Washington St.,Pac-12,24-9,6-4,3-3,15-2,6-4,3-4,7-1,8-0
45,45,Texas A&M;,SEC,20-14,6-6,4-3,10-5,7-7,6-3,2-4,5-0
46,46,Oklahoma,Big 12,20-12,3-6,3-2,14-4,4-12,5-0,3-0,8-0
47,47,Drake,MVC,27-6,6-5,6-1,15-0,4-1,3-3,9-2,11-0
48,48,Utah,Pac-12,19-14,2-9,3-3,14-2,4-9,4-3,6-2,5-0
49,49,Ohio St.,Big Ten,20-13,2-8,5-1,13-4,3-7,3-5,9-1,5-0
50,50,Grand Canyon,WAC,28-4,8-3,4-1,16-0,1-0,2-2,11-2,14-0
51,51,South Carolina,SEC,26-7,8-3,4-1,14-3,6-5,5-0,6-2,9-0
52,52,James Madison,Sun Belt,30-3,12-2,5-0,13-1,1-1,0-1,7-1,22-0
53,53,Northwestern,Big Ten,21-11,4-7,2-2,15-2,4-7,5-3,5-0,7-1
54,54,Virginia,ACC,23-10,5-6,3-2,15-2,2-7,8-3,7-0,6-0
55,55,Princeton,Ivy League,22-4,11-3,1-1,10-0,0-0,2-3,11-1,9-0
56,56,McNeese,Southland,26-3,11-3,1-0,14-0,1-0,2-2,4-0,19-1
57,58,Bradley,MVC,21-11,6-6,3-2,12-3,0-4,3-4,12-2,6-1
58,57,Providence,Big East,21-13,4-7,3-2,14-4,6-9,3-4,1-0,11-0
59,59,Oregon,Pac-12,23-11,6-5,4-3,13-3,4-6,5-4,8-1,6-0
60,60,Virginia Tech,ACC,18-14,2-9,2-3,14-2,3-7,3-6,6-1,6-0
61,61,UCF,Big 12,17-15,3-7,3-1,11-7,4-10,2-2,4-2,7-1
62,62,Iowa,Big Ten,18-14,4-8,2-2,12-4,3-9,5-3,4-2,6-0
63,63,NC State,ACC,22-14,4-7,6-2,12-5,3-8,6-5,4-1,9-0
64,64,Xavier,Big East,16-17,3-8,2-2,11-7,2-13,6-2,1-1,7-1
65,65,SMU,AAC,19-12,5-7,1-2,13-3,0-4,2-5,8-2,9-1
66,66,San Francisco,WCC,22-10,6-5,3-3,13-2,0-8,1-2,6-0,15-0
67,67,Seton Hall,Big East,20-12,5-7,1-2,14-3,5-8,4-3,2-1,9-0
68,68,Butler,Big East,17-14,4-7,2-2,11-5,4-11,4-3,2-0,7-0
69,70,Washington,Pac-12,17-15,5-6,1-3,11-6,2-7,5-6,6-2,4-0
70,71,Kansas St.,Big 12,19-14,2-8,2-3,15-3,5-8,4-5,5-1,5-0
71,69,VCU,Atlantic 10,22-13,5-4,4-3,13-6,1-4,7-5,7-2,7-2
72,72,App State,Sun Belt,25-6,8-4,4-2,13-0,2-0,1-0,7-5,15-1
73,73,Richmond,Atlantic 10,23-9,7-5,1-3,15-1,1-3,5-4,9-2,8-0
74,74,Samford,SoCon,27-5,8-5,3-0,16-0,0-2,2-0,10-3,15-0
75,75,Memphis,AAC,22-10,7-6,2-2,13-2,2-3,4-3,11-3,5-1
76,76,UNLV,Mountain West,17-12,7-3,0-3,10-6,5-5,1-4,6-0,5-3
77,77,UC Irvine,Big West,23-9,8-8,3-1,12-0,0-3,1-2,7-3,15-1
78,78,South Fla.,AAC,24-7,7-4,2-1,15-2,1-0,5-3,8-2,10-2
79,79,North Texas,AAC,16-14,5-5,2-5,9-4,0-6,2-4,9-3,5-1
80,83,Duquesne,Atlantic 10,23-11,5-6,6-1,12-4,2-3,6-5,5-3,10-0
81,80,Boston College,ACC,19-15,6-6,3-3,10-6,2-6,4-8,6-1,7-0
82,82,Maryland,Big Ten,16-17,4-8,1-3,11-6,2-9,4-4,3-4,7-0
83,81,Yale,Ivy League,20-9,9-6,4-1,7-2,0-3,3-2,10-2,7-2
84,84,Syracuse,ACC,19-12,4-7,1-3,14-2,3-7,4-4,8-1,4-0
85,85,Loyola Chicago,Atlantic 10,22-9,7-4,1-3,14-2,1-3,4-4,9-1,8-1
86,86,Penn St.,Big Ten,16-17,2-8,1-5,13-4,2-8,4-6,5-2,5-1
87,87,St. Bonaventure,Atlantic 10,20-13,5-6,4-3,11-4,1-4,3-3,8-3,8-3
88,88,Southern California,Pac-12,15-18,3-9,3-3,9-6,2-9,5-5,4-3,4-1
89,89,Minnesota,Big Ten,18-14,2-8,0-2,16-4,1-9,5-3,3-2,9-0
90,90,Ole Miss,SEC,20-12,4-7,2-1,14-4,3-8,3-4,8-0,6-0
91,91,Massachusetts,Atlantic 10,20-11,4-6,3-2,13-3,1-1,2-3,8-6,9-1
92,92,Saint Joseph's,Atlantic 10,21-13,3-9,4-1,14-3,1-4,4-5,5-3,11-1
93,93,George Mason,Atlantic 10,19-12,5-7,1-2,13-3,1-2,3-5,6-5,9-0
94,94,LSU,SEC,17-15,3-7,2-3,12-5,4-8,1-6,5-0,7-1
95,95,Cornell,Ivy League,20-7,10-5,2-1,8-1,0-2,1-4,8-0,11-1
96,96,Florida St.,ACC,17-16,4-7,3-2,10-7,1-8,9-5,3-2,4-1
97,97,Col. of Charleston,CAA,26-7,10-2,4-3,12-2,0-1,1-2,11-4,14-0
98,98,Indiana,Big Ten,19-14,4-6,2-3,13-5,3-9,6-4,4-1,6-0
99,99,Louisiana Tech,CUSA,19-10,8-7,0-1,11-2,0-3,1-1,6-5,12-1
100,100,Georgia,SEC,17-16,4-6,1-4,12-6,1-9,2-6,8-1,6-0
101,101,Miami (FL),ACC,15-17,2-9,2-2,11-6,1-9,7-4,1-3,6-1
102,102,Vermont,America East,26-6,10-4,2-1,14-1,0-2,2-0,9-3,15-1
103,103,Rutgers,Big Ten,15-17,3-9,0-3,12-5,2-11,4-4,2-2,7-0
104,105,UAB,AAC,22-11,7-5,4-1,11-5,0-4,7-3,9-2,6-2
105,104,Santa Clara,WCC,19-13,5-6,4-3,10-4,2-7,4-2,2-1,11-3
106,106,Morehead St.,OVC,22-8,9-7,3-0,10-1,0-2,0-2,3-2,19-2
107,107,UCLA,Pac-12,15-17,5-6,1-4,9-7,1-10,6-2,3-4,5-1
108,108,Akron,MAC,22-10,7-6,4-3,11-1,0-3,2-3,6-2,14-2
109,109,UNI,MVC,18-14,6-8,2-3,10-3,0-6,5-3,6-4,7-1
110,110,High Point,Big South,23-8,7-5,2-1,14-2,0-0,0-1,6-4,17-3
111,111,Western Caro.,SoCon,19-10,10-6,0-1,9-3,0-1,2-3,5-6,12-0
112,112,Hofstra,CAA,19-13,5-10,4-1,10-2,0-2,1-4,8-5,10-2
113,113,Stanford,Pac-12,14-18,3-8,1-4,10-6,1-7,4-4,5-6,4-1
114,114,Charlotte,AAC,18-12,5-7,1-3,12-2,0-4,2-2,6-6,10-0
115,115,Arkansas,SEC,16-17,2-7,2-4,12-6,2-9,1-6,7-1,6-1
116,116,Southern Ill.,MVC,18-13,5-6,1-2,12-5,1-3,0-5,6-4,11-1
117,117,Belmont,MVC,19-13,6-9,2-2,11-2,0-6,2-1,6-6,11-0
118,118,UNCW,CAA,18-10,10-6,1-2,7-2,1-0,1-3,5-5,11-2
119,119,Seattle U,WAC,18-14,4-9,1-1,13-4,0-4,1-2,4-6,13-2
120,120,UC San Diego,Big West,19-11,7-8,0-1,12-2,0-2,0-3,6-3,13-3
121,121,Davidson,Atlantic 10,13-17,4-8,2-2,7-7,0-5,3-5,4-6,6-1
122,122,Drexel,CAA,19-12,6-10,1-1,12-1,1-1,0-3,4-6,14-2
123,123,Oklahoma St.,Big 12,12-20,1-9,1-3,10-8,2-12,1-6,3-1,6-1
124,124,Notre Dame,ACC,13-20,2-10,2-2,9-8,0-10,5-4,4-4,4-2
125,125,Colgate,Patriot,24-9,10-5,2-1,12-3,0-2,1-3,2-1,21-3
126,126,Oakland,Horizon,23-11,9-7,4-1,10-3,1-5,1-0,7-6,14-0
127,127,Georgia Tech,ACC,14-18,4-9,2-2,8-7,4-6,4-7,3-5,3-0
128,128,California,Pac-12,13-19,3-8,0-5,10-6,2-8,4-4,5-5,2-2
129,129,UT Arlington,WAC,18-14,5-10,3-1,10-3,0-6,1-2,4-5,13-1
130,130,Toledo,MAC,20-12,8-5,0-4,12-3,0-3,1-2,8-5,11-2
131,131,Youngstown St.,Horizon,18-10,8-7,0-0,10-3,0-1,0-2,6-5,12-2
132,132,UNC Greensboro,SoCon,19-11,7-7,3-1,9-3,0-2,2-2,7-5,10-2
133,133,Michigan,Big Ten,8-24,2-10,1-4,5-10,3-12,1-8,2-3,2-1
134,134,Arizona St.,Pac-12,14-18,3-8,1-5,10-5,2-9,6-4,3-4,3-1
135,135,South Dakota St.,Summit League,19-12,6-5,5-4,8-3,0-1,0-2,7-4,12-5
136,136,Western Ky.,CUSA,19-11,6-7,4-2,9-2,0-0,1-0,6-7,12-4
137,137,Troy,Sun Belt,17-12,5-9,0-1,12-2,0-1,1-1,3-8,13-2
138,138,Tulane,AAC,13-17,2-8,1-3,10-6,0-4,1-7,5-5,7-1
139,139,Ohio,MAC,19-13,5-7,3-3,11-3,0-0,0-2,5-9,14-2
140,140,Chattanooga,SoCon,19-12,8-7,1-1,10-4,0-2,2-2,6-6,11-2
141,141,Liberty,CUSA,15-14,2-8,4-3,9-3,0-2,0-3,9-4,6-5
142,142,UMass Lowell,America East,19-10,10-7,0-0,9-3,0-0,1-4,3-3,15-3
143,143,Eastern Wash.,Big Sky,19-11,10-9,0-1,9-1,0-4,0-3,4-2,15-2
144,144,Montana,Big Sky,20-11,8-7,2-1,10-3,0-3,0-0,3-4,17-4
145,145,Tarleton St.,WAC,20-9,10-5,2-1,8-3,0-4,3-0,6-2,11-3
146,146,Missouri St.,MVC,17-16,4-10,4-1,9-5,1-5,2-3,5-5,9-3
147,147,Furman,SoCon,15-15,4-10,1-3,10-2,0-2,1-5,5-7,9-1
148,148,Arkansas St.,Sun Belt,18-16,5-11,3-2,10-3,0-4,1-3,7-6,10-3
149,149,Towson,CAA,19-14,6-6,2-6,11-2,0-3,1-4,5-4,13-3
150,150,Louisiana,Sun Belt,17-14,5-9,3-2,9-3,0-3,0-3,5-5,12-3
151,151,Wichita St.,AAC,14-19,2-10,3-4,9-5,0-4,4-4,3-9,7-2
152,152,Sam Houston,CUSA,19-12,7-9,2-1,10-2,0-2,1-3,6-4,12-3
153,154,Wright St.,Horizon,16-14,7-6,2-1,7-7,0-1,1-3,5-8,10-2
154,153,Weber St.,Big Sky,17-12,7-7,1-3,9-2,1-1,1-0,5-6,10-5
155,155,Wyoming,Mountain West,13-17,3-10,3-2,7-5,0-9,3-2,3-4,7-2
156,156,West Virginia,Big 12,9-23,0-9,0-5,9-9,2-13,2-8,3-0,2-2
157,157,Purdue Fort Wayne,Horizon,19-12,8-7,2-0,9-5,0-2,1-2,4-4,14-4
158,158,Missouri,SEC,8-24,2-10,0-3,6-11,1-10,1-9,1-4,5-1
159,159,St. Thomas (MN),Summit League,17-13,6-9,2-2,9-2,0-1,0-2,2-4,15-6
160,160,Quinnipiac,MAAC,23-9,10-5,1-1,12-3,0-1,0-1,4-3,19-4
161,161,Fairfield,MAAC,21-12,10-6,2-2,9-4,0-0,1-2,4-5,16-5
162,162,Longwood,Big South,18-13,6-10,2-0,10-3,0-1,1-2,4-4,13-6
163,163,UNC Asheville,Big South,19-12,5-7,5-3,9-2,0-1,1-4,6-5,12-2
164,164,Bryant,America East,18-13,8-10,1-0,9-3,1-2,0-3,4-6,13-2
165,165,Oregon St.,Pac-12,12-19,1-9,0-4,11-6,1-9,3-7,3-3,5-0
166,166,Lipscomb,ASUN,18-12,6-9,2-1,10-2,0-2,1-2,4-3,13-5
167,167,Delaware,CAA,18-14,8-6,3-3,7-5,1-0,0-4,2-8,15-2
168,168,UC Davis,Big West,18-13,8-6,2-1,8-6,0-1,1-1,7-6,10-5
169,169,Murray St.,MVC,11-20,4-9,0-3,7-8,0-5,2-4,4-9,5-2
170,170,Long Beach St.,Big West,19-14,9-7,4-2,6-5,0-1,3-2,7-5,9-6
171,171,Kent St.,MAC,15-17,4-9,4-2,7-6,0-2,1-3,3-8,11-4
172,172,Hawaii,Big West,18-14,4-6,3-2,11-6,0-1,0-4,3-7,15-2
173,173,Utah Valley,WAC,14-16,5-10,1-2,8-4,0-3,0-5,6-5,8-3
174,174,Stony Brook,CAA,19-15,4-11,3-1,12-3,0-3,0-5,3-5,16-2
175,175,SFA,WAC,16-15,5-8,3-2,8-5,1-2,0-3,5-6,10-4
176,176,Fordham,Atlantic 10,13-20,4-6,3-3,6-11,0-2,2-7,6-6,5-5
177,177,Brown,Ivy League,12-18,6-8,2-3,4-7,0-2,3-4,4-8,5-4
178,178,Illinois St.,MVC,14-17,4-8,1-3,9-6,1-3,0-4,7-5,6-5
179,179,A&M-Corpus; Christi,Southland,17-11,8-7,0-2,9-2,0-4,0-1,2-2,15-4
180,180,ETSU,SoCon,17-16,5-11,4-1,8-4,0-4,0-4,7-7,10-1
181,181,Winthrop,Big South,14-15,6-9,0-1,8-5,0-3,0-3,2-6,12-3
182,182,Little Rock,OVC,21-12,6-6,1-2,14-4,0-0,0-0,2-4,19-8
183,183,Northern Ky.,Horizon,16-15,6-11,0-1,10-3,0-3,0-2,5-8,11-2
184,184,UTEP,CUSA,15-16,2-9,3-2,10-5,0-1,0-2,7-9,8-4
185,185,Wofford,SoCon,14-15,6-9,0-4,8-2,0-3,1-3,5-8,8-1
186,186,UIC,MVC,11-21,3-10,3-2,5-9,0-4,1-6,5-6,5-5
187,188,Northern Colo.,Big Sky,17-13,7-8,1-2,9-3,0-1,0-1,3-5,14-6
188,189,Saint Peter's,MAAC,18-13,8-8,3-0,7-5,0-1,0-2,3-6,15-4
189,190,East Carolina,AAC,14-18,3-7,1-2,10-9,0-3,0-8,6-3,8-4
190,191,Gardner-Webb,Big South,14-16,6-8,2-4,6-4,0-2,0-5,6-4,8-5
191,187,Temple,AAC,15-20,5-7,6-4,4-9,1-4,2-4,3-7,9-5
192,192,George Washington,Atlantic 10,14-17,1-9,2-2,11-6,1-3,0-5,6-6,7-3
193,193,Monmouth,CAA,18-15,2-13,3-1,13-1,0-2,0-7,5-4,13-2
194,195,Marist,MAAC,18-13,8-8,1-1,9-4,0-0,0-1,2-6,16-6
195,194,La Salle,Atlantic 10,15-17,3-10,2-1,10-6,0-3,0-8,6-4,9-2
196,196,Cleveland St.,Horizon,19-14,6-10,0-1,13-3,1-1,1-3,5-7,12-3
197,197,Saint Louis,Atlantic 10,12-20,3-9,2-3,7-8,0-5,1-9,6-5,5-1
198,198,Tulsa,AAC,15-15,2-9,0-2,13-4,0-2,0-3,6-8,9-2
199,199,LMU (CA),WCC,11-19,3-7,1-4,7-8,0-6,1-3,1-5,9-5
200,200,Harvard,Ivy League,13-13,5-8,0-0,8-5,0-1,2-6,2-3,9-3
201,201,California Baptist,WAC,14-17,4-9,1-1,9-7,0-2,0-3,6-6,8-6
202,202,Vanderbilt,SEC,9-23,1-9,0-4,8-10,1-12,2-4,2-6,4-1
203,203,Evansville,MVC,15-17,4-11,2-1,9-5,0-7,1-3,3-6,11-1
204,204,UT Martin,OVC,17-11,9-7,0-2,8-2,0-3,0-1,2-3,15-4
205,205,Georgetown,Big East,9-23,2-10,0-1,7-12,0-12,1-9,0-1,8-1
206,206,Texas St.,Sun Belt,15-18,5-11,3-3,7-4,0-4,2-2,5-7,8-5
207,207,UC Santa Barbara,Big West,14-15,6-7,1-1,7-7,0-1,0-2,5-6,9-6
208,208,Montana St.,Big Sky,15-16,4-10,3-0,8-6,0-1,1-2,4-6,10-7
209,209,Stetson,ASUN,19-12,6-10,2-0,11-2,1-2,0-2,1-0,17-8
210,210,Iona,MAAC,16-17,5-8,2-4,9-5,0-1,0-2,4-8,12-6
211,211,Rhode Island,Atlantic 10,11-20,3-8,0-4,8-8,0-4,1-6,5-6,5-4
212,212,Penn,Ivy League,9-18,2-10,0-2,7-6,0-4,1-4,1-7,7-3
213,213,Merrimack,NEC,19-12,7-9,1-1,11-2,0-4,0-1,2-1,17-6
214,214,Milwaukee,Horizon,18-15,6-9,2-2,10-4,0-2,0-2,8-7,10-4
215,215,Mercer,SoCon,14-16,4-9,2-2,8-5,0-2,2-4,3-5,9-5
216,217,Louisville,ACC,8-24,1-10,0-3,7-11,0-10,1-8,2-5,5-1
217,216,Jacksonville St.,CUSA,11-18,5-10,1-1,5-7,0-1,0-1,5-6,6-10
218,218,Lamar University,Southland,17-14,5-11,3-0,9-3,0-3,0-2,1-3,16-6
219,219,Eastern Ky.,ASUN,14-14,4-10,0-0,10-4,0-2,0-1,1-6,13-5
220,220,Rider,MAAC,14-17,6-12,0-1,8-4,0-2,0-3,3-7,11-5
221,221,Austin Peay,ASUN,16-15,4-12,1-1,11-2,0-2,1-1,1-8,14-4
222,222,Georgia St.,Sun Belt,12-17,5-11,0-1,7-5,0-3,0-4,3-3,9-7
223,223,Norfolk St.,MEAC,18-11,6-8,3-3,9-0,1-1,0-1,2-4,15-5
224,224,CSUN,Big West,17-15,9-7,1-1,7-7,0-0,1-3,3-7,13-5
225,225,Columbia,Ivy League,10-14,4-8,0-0,6-6,0-2,0-3,2-6,8-3
226,226,Pepperdine,WCC,11-20,3-8,1-4,7-8,0-8,0-3,2-4,9-5
227,227,Green Bay,Horizon,16-14,8-8,0-1,8-5,0-2,1-1,7-5,8-6
228,228,Bowling Green,MAC,18-13,5-7,3-2,10-4,0-0,0-3,5-4,13-6
229,229,Abilene Christian,WAC,14-17,5-9,2-2,7-6,0-2,2-3,4-7,8-5
230,231,New Hampshire,America East,15-15,7-10,0-0,8-5,0-2,0-3,4-4,11-6
231,230,UC Riverside,Big West,14-18,4-12,2-1,8-5,0-3,0-3,4-6,10-6
232,233,Kansas City,Summit League,13-16,6-9,0-4,7-3,0-3,0-1,2-6,11-6
233,232,Fresno St.,Mountain West,11-21,3-9,2-3,6-9,0-10,0-5,1-4,10-2
234,234,Maine,America East,14-17,5-13,2-0,7-4,0-1,1-3,1-6,12-7
235,235,Cal St. Fullerton,Big West,12-18,6-10,1-1,5-7,0-4,0-3,4-5,8-6
236,236,Radford,Big South,14-17,4-12,4-0,6-5,0-4,0-2,4-3,10-8
237,237,Nicholls,Southland,17-14,8-10,2-2,7-2,0-4,1-3,1-4,15-3
238,238,Miami (OH),MAC,13-17,6-10,0-1,7-6,0-1,0-3,4-7,9-6
239,239,Southern Miss.,Sun Belt,14-16,5-9,0-4,9-3,0-1,2-2,5-6,7-7
240,240,North Dakota,Summit League,15-14,7-8,2-1,6-5,0-2,0-1,2-4,13-7
241,241,Rice,AAC,10-21,5-7,0-4,5-10,1-4,1-5,1-8,7-4
242,242,Mount St. Mary's,MAAC,13-19,5-13,0-1,8-5,0-0,0-3,2-6,11-10
243,243,San Jose St.,Mountain West,8-23,1-12,2-2,5-9,0-10,0-3,2-6,6-4
244,244,Northeastern,CAA,12-20,4-13,1-2,7-5,0-3,0-2,3-11,9-4
245,245,Marshall,Sun Belt,12-20,3-9,2-4,7-7,0-4,0-4,4-5,8-7
246,246,FGCU,ASUN,11-18,4-10,1-3,6-5,0-2,1-2,0-5,10-9
247,247,Portland St.,Big Sky,14-15,5-11,1-2,8-2,0-1,0-0,5-9,9-5
248,248,South Alabama,Sun Belt,14-15,5-9,0-1,9-5,0-2,0-2,3-7,11-4
249,250,Central Conn. St.,NEC,18-11,9-7,0-0,9-4,0-0,0-2,2-4,16-5
250,249,UAlbany,America East,12-19,5-13,0-1,7-5,0-1,0-5,2-8,10-5
251,251,Idaho St.,Big Sky,12-20,4-13,2-2,6-5,0-1,0-0,3-11,9-8
252,252,North Florida,ASUN,13-16,5-11,0-0,8-5,0-1,0-4,0-5,13-6
253,253,North Ala.,ASUN,13-17,5-13,0-0,8-4,0-3,0-2,1-6,12-6
254,254,San Diego,WCC,16-15,4-7,2-2,10-6,0-6,1-3,3-4,12-2
255,255,North Dakota St.,Summit League,12-17,5-11,0-2,7-4,0-2,1-1,3-8,8-6
256,256,Niagara,MAAC,15-16,10-6,1-1,4-9,0-0,0-2,5-5,10-9
257,257,Southern U.,SWAC,15-14,7-11,0-1,8-2,1-4,1-0,0-1,13-9
258,258,Ball St.,MAC,13-16,6-8,0-1,7-7,0-1,0-2,0-8,13-5
259,259,CSU Bakersfield,Big West,11-19,2-13,1-2,8-4,0-1,0-4,2-9,9-5
260,260,Western Ill.,OVC,17-12,10-6,1-1,6-5,0-3,0-1,2-2,15-6
261,261,Kennesaw St.,ASUN,12-16,4-11,2-0,6-5,0-0,0-2,0-5,12-9
262,262,UTSA,AAC,10-21,4-11,0-1,6-9,1-1,1-4,1-11,7-5
263,263,The Citadel,SoCon,8-21,2-13,2-1,4-7,0-2,1-4,1-9,6-6
264,264,Denver,Summit League,13-17,4-11,3-2,6-4,0-2,0-2,2-5,11-8
265,265,Central Mich.,MAC,17-14,7-9,1-2,9-3,0-3,1-3,2-3,14-5
266,266,Canisius,MAAC,13-18,3-12,3-2,7-4,0-1,1-2,3-8,9-7
267,267,Lehigh,Patriot,12-18,8-11,0-0,4-7,0-2,0-4,1-3,11-9
268,268,Queens (NC),ASUN,12-19,2-16,1-0,9-3,0-3,0-3,3-5,9-8
269,269,Air Force,Mountain West,9-22,5-8,0-2,4-12,1-8,1-2,0-7,7-5
270,270,Omaha,Summit League,11-18,2-13,2-2,7-3,0-2,0-2,1-5,10-9
271,271,Southern Utah,WAC,8-21,3-13,1-0,4-8,0-3,0-4,2-7,6-7
272,272,N.C. Central,MEAC,14-13,6-9,1-2,7-2,0-2,0-1,0-3,14-7
273,273,Howard,MEAC,16-16,6-9,3-3,7-4,0-1,0-3,1-5,15-7
274,274,Binghamton,America East,13-15,5-11,0-0,8-4,0-2,0-3,1-6,12-4
275,275,Jacksonville,ASUN,13-17,4-14,1-0,8-3,0-4,0-0,1-4,12-9
276,276,Oral Roberts,Summit League,9-19,2-13,1-1,6-5,0-3,0-3,2-7,7-6
277,277,Bucknell,Patriot,14-19,8-11,0-0,6-8,0-1,1-4,0-5,13-9
278,278,Texas Southern,SWAC,15-16,6-10,3-2,6-4,0-5,0-2,0-0,15-9
279,279,Grambling,SWAC,17-14,7-9,4-2,6-3,0-6,0-0,0-2,17-6
280,280,SIUE,OVC,14-16,2-13,3-1,9-2,0-2,0-1,1-4,13-9
281,281,Presbyterian,Big South,11-18,5-9,1-2,5-7,0-1,0-1,2-7,9-9
282,282,Tennessee St.,OVC,14-15,5-10,2-2,7-3,0-2,0-1,0-5,14-7
283,284,Ga. Southern,Sun Belt,9-24,2-14,1-4,6-6,0-4,0-4,0-5,9-11
284,283,UMBC,America East,10-21,5-12,0-0,5-9,0-1,0-2,1-9,9-9
285,285,Utah Tech,WAC,10-20,4-13,0-0,6-7,0-3,0-5,2-8,8-4
286,286,Sacred Heart,NEC,14-16,4-11,1-0,9-5,0-2,0-1,0-2,14-11
287,287,American,Patriot,15-16,8-9,0-0,7-7,0-2,1-1,0-3,14-10
288,288,Middle Tenn.,CUSA,12-19,1-10,2-3,9-6,0-1,1-1,3-14,8-3
289,289,New Mexico St.,CUSA,9-19,1-13,0-3,8-3,0-3,0-2,3-11,6-3
290,290,Wagner,NEC,14-15,9-10,0-0,5-5,0-2,0-0,3-3,11-10
291,291,Boston U.,Patriot,15-17,7-10,0-0,8-7,0-0,0-3,0-2,15-12
292,292,Western Mich.,MAC,11-20,3-12,2-1,6-7,0-2,0-3,3-8,8-7
293,293,Old Dominion,Sun Belt,6-25,1-12,1-3,4-10,0-3,0-6,2-5,4-11
294,294,FIU,CUSA,10-22,1-12,1-4,8-6,0-2,0-2,3-10,7-8
295,295,Portland,WCC,10-21,2-11,1-4,7-6,0-7,0-4,4-4,6-6
