Rank,Previous,School,Conference,Record,Road,Neutral,Home,Non Div I
32,32,Alabama,SEC,23-9,6-4,2-2,15-3,0-0
33,33,Iowa St.,Big 12,20-11,5-6,2-3,13-2,0-0
34,34,Princeton,Ivy League,25-4,12-3,2-1,11-0,0-0
35,35,Arizona,Pac-12,17-15,4-7,3-3,10-5,0-0
36,36,Ole Miss,SEC,23-8,8-3,4-1,11-4,0-0
37,37,North Carolina,ACC,19-12,3-6,2-4,14-2,0-0
38,38,Kansas,Big 12,19-12,4-8,2-3,13-1,0-0
39,39,Middle Tenn.,CUSA,29-4,11-2,6-1,12-1,0-0
40,40,Marquette,Big East,23-8,7-4,3-1,13-3,0-0
41,41,Texas A&M;,SEC,19-12,5-6,2-1,12-5,0-0
42,42,Washington,Pac-12,16-14,4-7,2-1,10-6,0-0
43,43,Florida St.,ACC,23-10,7-4,3-3,13-3,0-0
44,44,Syracuse,ACC,23-7,7-4,2-1,14-2,0-0
45,45,Auburn,SEC,20-11,5-7,1-1,14-3,0-0
46,46,TCU,Big 12,19-11,2-6,3-1,14-4,1-0
47,47,Mississippi St.,SEC,21-11,7-5,3-1,11-5,0-0
48,48,Michigan,Big Ten,20-13,5-6,4-3,11-4,0-0
49,49,Illinois,Big Ten,14-15,3-7,1-3,10-5,0-0
50,50,Green Bay,Horizon,26-6,9-4,4-1,13-1,1-0
51,51,Miami (FL),ACC,19-12,4-6,1-2,14-4,0-0
52,52,Villanova,Big East,18-12,8-7,0-1,10-4,0-0
53,53,Richmond,Atlantic 10,29-5,9-4,6-1,14-0,0-0
54,54,FGCU,ASUN,27-4,9-3,2-1,16-0,2-0
55,55,South Dakota St.,Summit League,25-5,11-4,3-0,11-1,2-0
56,56,Vanderbilt,SEC,22-9,8-3,2-1,12-5,0-0
57,57,Columbia,Ivy League,23-6,8-2,0-2,15-2,0-0
58,58,Oklahoma St.,Big 12,14-16,4-7,0-4,10-5,0-0
59,59,California,Pac-12,18-14,5-6,1-1,12-7,0-0
60,60,Florida,SEC,16-15,3-9,5-1,8-5,0-0
61,61,Virginia,ACC,15-15,5-5,1-2,9-8,0-0
62,62,Saint Joseph's,Atlantic 10,26-5,14-1,0-1,12-3,0-0
63,63,George Mason,Atlantic 10,22-7,11-5,0-1,11-1,1-0
64,64,Seton Hall,Big East,17-14,4-7,2-2,11-5,0-0
65,65,Drake,MVC,29-5,11-3,3-0,15-2,0-0
66,66,Minnesota,Big Ten,16-15,2-8,1-1,13-6,0-0
67,67,Toledo,MAC,25-5,10-3,3-1,12-1,1-0
68,69,Georgia Tech,ACC,17-15,6-6,2-2,9-7,0-0
69,70,Santa Clara,WCC,22-8,11-5,1-2,10-1,2-0
70,71,VCU,Atlantic 10,25-5,8-3,3-1,14-1,1-0
71,72,Purdue,Big Ten,13-18,3-9,1-3,9-6,0-0
72,68,Stony Brook,CAA,27-4,12-2,2-1,13-1,0-0
73,73,Marshall,Sun Belt,24-6,12-5,3-0,9-1,2-0
74,74,Texas Tech,Big 12,17-16,1-8,3-3,13-5,0-0
75,75,Arkansas,SEC,18-14,4-6,3-2,11-6,0-0
76,77,Ball St.,MAC,27-5,12-3,3-1,12-1,1-0
77,76,Eastern Wash.,Big Sky,27-5,12-3,5-0,10-2,2-0
78,78,Belmont,MVC,25-8,10-4,2-2,13-2,0-0
79,79,Rhode Island,Atlantic 10,21-14,6-8,5-1,10-5,0-0
80,80,Boston College,ACC,14-19,2-10,1-3,11-6,0-0
81,81,Davidson,Atlantic 10,18-8,7-4,0-0,11-4,0-0
82,82,BYU,Big 12,16-16,3-10,3-1,10-5,0-0
83,83,Cleveland St.,Horizon,29-5,9-3,3-2,17-0,0-0
84,84,St. John's (NY),Big East,17-14,6-7,0-4,11-3,0-0
85,85,Missouri,SEC,11-19,2-9,1-3,8-7,0-0
86,86,Georgetown,Big East,22-11,10-5,3-1,9-5,0-0
87,87,North Texas,AAC,22-8,9-5,2-1,11-2,1-0
88,88,Harvard,Ivy League,16-12,8-9,2-0,6-3,0-0
89,89,Fairfield,MAAC,30-1,15-1,3-0,12-0,1-0
90,90,UCF,Big 12,11-17,1-8,3-1,7-8,1-0
91,91,Clemson,ACC,12-19,2-9,1-3,9-7,0-0
92,92,Cincinnati,Big 12,14-17,4-7,2-3,8-7,0-0
93,93,Grand Canyon,WAC,23-8,11-3,0-1,12-4,1-0
94,94,Temple,AAC,20-12,8-4,2-2,10-6,0-0
95,95,Georgia,SEC,12-18,1-9,3-2,8-7,0-0
96,96,UNI,MVC,16-15,6-8,1-3,9-4,0-0
97,97,Montana,Big Sky,21-9,10-3,2-1,9-5,1-0
98,98,Colorado St.,Mountain West,19-11,5-9,2-0,12-2,1-0
99,99,Oregon,Pac-12,11-21,2-12,1-1,8-8,0-0
100,100,Jackson St.,SWAC,23-6,10-5,4-1,9-0,3-0
101,101,Houston,Big 12,14-16,3-9,0-1,11-6,0-0
102,102,Rice,AAC,19-14,6-8,4-0,9-6,0-0
103,103,DePaul,Big East,12-20,2-9,1-3,9-8,0-0
104,104,Portland,WCC,19-12,8-6,3-2,8-4,2-0
105,105,James Madison,Sun Belt,22-11,8-6,3-2,11-3,1-0
106,106,Chattanooga,SoCon,26-4,11-0,5-2,10-2,2-0
107,107,Murray St.,MVC,19-11,9-6,1-1,9-4,1-0
108,108,Missouri St.,MVC,23-9,7-7,2-1,14-1,0-0
109,109,South Fla.,AAC,19-14,5-5,3-4,11-5,0-0
110,110,North Dakota St.,Summit League,19-11,7-6,2-4,10-1,2-0
111,111,Arizona St.,Pac-12,11-20,1-9,3-2,7-9,0-0
112,112,Maine,America East,24-9,9-6,2-1,13-2,0-0
113,113,Kent St.,MAC,19-10,8-6,4-1,7-3,2-0
114,114,Troy,Sun Belt,19-11,8-6,2-1,9-4,0-0
115,115,Tulsa,AAC,23-9,6-6,4-2,13-1,0-0
116,116,East Carolina,AAC,19-14,6-5,3-3,10-6,0-0
117,117,Providence,Big East,13-20,4-9,1-3,8-8,0-0
118,118,Wyoming,Mountain West,15-14,5-8,1-2,9-4,1-0
119,119,Northern Ariz.,Big Sky,24-9,12-4,4-1,8-4,1-0
120,120,California Baptist,WAC,28-3,12-3,2-0,14-0,0-0
121,121,Illinois St.,MVC,20-11,6-8,2-1,12-2,1-0
122,122,Norfolk St.,MEAC,26-5,13-4,4-1,9-0,1-0
123,123,UC Irvine,Big West,23-8,10-5,3-1,10-2,0-0
124,124,Old Dominion,Sun Belt,21-9,9-4,1-1,11-4,1-0
125,125,Duquesne,Atlantic 10,20-12,8-6,2-3,10-3,0-0
126,126,Lamar University,Southland,22-6,11-3,2-2,9-1,2-0
127,127,Wisconsin,Big Ten,13-16,4-7,1-2,8-7,0-0
128,128,Memphis,AAC,13-17,4-9,1-3,8-5,0-0
129,129,Wake Forest,ACC,7-25,2-10,2-2,3-13,0-0
130,130,Boise St.,Mountain West,19-13,5-8,3-2,11-3,2-0
131,131,Charlotte,AAC,16-15,5-8,1-3,10-4,0-0
132,132,SMU,AAC,14-16,4-6,0-3,10-7,0-0
133,133,Butler,Big East,13-16,5-7,1-1,7-8,1-0
134,134,Liberty,CUSA,16-16,6-7,2-4,8-5,2-0
135,135,Oral Roberts,Summit League,17-10,7-8,1-1,9-1,4-0
136,136,UTSA,AAC,17-14,7-9,1-1,9-4,0-0
137,137,ULM,Sun Belt,17-13,7-8,3-1,7-4,2-0
138,138,Southern Miss.,Sun Belt,17-13,5-8,1-2,11-3,1-0
139,139,South Dakota,Summit League,18-12,7-5,3-3,8-4,3-0
140,140,Pacific,WCC,17-14,4-8,3-1,10-5,1-0
141,142,Vermont,America East,21-11,8-5,0-3,13-3,1-0
142,141,Purdue Fort Wayne,Horizon,19-12,8-7,2-2,9-3,2-0
143,143,San Diego St.,Mountain West,20-13,5-9,5-0,10-4,2-0
144,144,Hawaii,Big West,20-10,7-6,0-1,13-3,0-0
145,145,N.C. A&T;,CAA,18-11,9-5,2-2,7-4,2-0
146,146,Southern Ind.,OVC,22-6,8-4,2-0,12-2,2-0
147,147,SFA,WAC,20-12,8-6,2-2,10-4,2-0
148,148,Col. of Charleston,CAA,19-9,8-6,0-1,11-2,2-0
149,149,Kentucky,SEC,12-20,1-9,1-4,10-7,0-0
150,150,Saint Louis,Atlantic 10,14-18,5-8,2-3,7-7,2-0
151,151,Central Ark.,ASUN,19-11,7-10,0-1,12-0,2-0
152,152,New Mexico,Mountain West,20-11,7-4,0-3,13-4,1-0
153,153,Rutgers,Big Ten,8-24,1-10,0-3,7-11,0-0
154,154,Montana St.,Big Sky,17-16,5-10,2-2,10-4,0-0
155,155,Penn,Ivy League,13-13,6-8,0-1,7-4,2-0
156,156,San Francisco,WCC,13-16,6-8,0-2,7-6,1-0
157,157,Monmouth,CAA,20-9,12-2,0-1,8-6,1-0
158,158,UIC,MVC,18-15,8-8,2-2,8-5,0-0
159,159,Tulane,AAC,12-20,2-9,2-3,8-8,0-0
160,160,UAlbany,America East,24-6,11-4,0-0,13-2,1-0
161,161,Pittsburgh,ACC,8-24,2-9,1-4,5-11,0-0
162,165,Drexel,CAA,18-14,6-7,4-1,8-6,1-0
163,162,UAB,AAC,17-13,5-6,1-2,11-5,1-0
164,163,Cal Poly,Big West,17-13,9-8,0-1,8-4,0-0
165,164,Brown,Ivy League,15-11,9-6,0-0,6-5,1-0
166,166,Loyola Chicago,Atlantic 10,15-16,6-8,1-1,8-7,0-0
167,167,A&M-Corpus; Christi,Southland,19-8,7-5,2-0,10-3,4-0
168,168,UC Davis,Big West,18-14,5-11,3-1,10-2,2-0
169,169,App State,Sun Belt,17-15,4-11,3-1,10-3,0-0
170,170,Northern Colo.,Big Sky,13-15,6-9,0-1,7-5,2-0
171,171,Louisiana Tech,CUSA,12-19,4-11,1-3,7-5,2-0
172,172,Louisiana,Sun Belt,15-14,7-6,2-1,6-7,2-0
173,173,Western Ky.,CUSA,14-17,4-9,2-3,8-5,1-0
174,174,Arkansas St.,Sun Belt,12-17,3-9,0-1,9-7,1-0
175,175,Towson,CAA,20-11,7-6,4-1,9-4,0-0
176,176,Bowling Green,MAC,16-14,6-8,2-1,8-5,0-0
177,177,Southeastern La.,Southland,16-12,7-5,1-3,8-4,3-0
178,178,William & Mary,CAA,15-14,8-6,1-1,6-7,0-0
179,179,FIU,CUSA,19-11,7-4,0-1,12-6,1-0
180,180,Eastern Ky.,ASUN,19-11,10-7,1-1,8-3,3-0
181,181,Siena,MAAC,18-12,8-7,1-1,9-4,0-0
182,182,Idaho,Big Sky,13-16,10-4,1-1,2-11,2-0
183,183,George Washington,Atlantic 10,12-18,3-9,0-4,9-5,1-0
184,184,Fordham,Atlantic 10,10-17,2-10,0-1,8-6,2-0
185,185,Buffalo,MAC,18-13,5-7,2-1,11-5,1-0
186,189,Holy Cross,Patriot,19-12,6-10,0-0,13-2,1-0
187,186,ETSU,SoCon,16-12,5-8,1-1,10-3,2-0
188,187,Austin Peay,ASUN,15-15,6-8,2-0,7-7,2-1
189,188,Abilene Christian,WAC,11-16,3-10,0-2,8-4,3-0
190,190,UT Arlington,WAC,17-16,7-8,3-2,7-6,0-0
191,191,Northwestern,Big Ten,9-21,3-9,0-3,6-9,0-0
192,192,Delaware,CAA,11-20,6-7,1-4,4-9,0-0
193,193,Wofford,SoCon,13-13,3-10,1-1,9-2,4-0
194,194,Lipscomb,ASUN,15-13,9-7,0-0,6-6,2-0
195,195,Nevada,Mountain West,15-16,5-7,2-3,8-6,1-0
196,196,Ark.-Pine Bluff,SWAC,15-16,8-8,1-4,6-4,2-0
197,197,Mercer,SoCon,15-17,3-11,2-2,10-4,0-0
198,198,Campbell,CAA,15-14,5-9,3-1,7-4,2-0
199,199,Wright St.,Horizon,16-15,6-8,1-2,9-5,2-0
200,200,Utah Tech,WAC,16-14,7-8,0-1,9-5,2-0
201,201,Niagara,MAAC,20-13,7-7,2-3,11-3,0-0
202,203,Milwaukee,Horizon,14-16,7-8,1-1,6-7,2-0
203,202,UC Riverside,Big West,16-13,7-9,0-1,9-3,2-0
204,204,Air Force,Mountain West,13-17,5-8,0-3,8-6,2-0
205,205,Georgia St.,Sun Belt,13-15,6-8,0-1,7-6,2-0
206,206,Long Beach St.,Big West,14-18,5-9,2-1,7-8,1-0
207,207,UNC Greensboro,SoCon,17-11,4-9,2-1,11-1,4-0
208,208,Saint Mary's (CA),WCC,12-18,4-10,0-1,8-7,1-0
209,209,San Diego,WCC,8-22,2-10,1-1,5-11,1-0
210,211,Southern Ill.,MVC,11-20,3-8,2-2,6-10,0-0
211,210,Fresno St.,Mountain West,13-18,3-10,2-1,8-7,2-0
212,212,New Mexico St.,CUSA,12-18,3-10,3-2,6-6,1-0
213,213,Colgate,Patriot,17-13,7-6,0-1,10-6,1-0
214,221,Sacred Heart,NEC,22-9,11-5,0-2,11-2,2-0
215,214,Texas St.,Sun Belt,12-18,6-8,2-1,4-9,2-0
216,215,Wichita St.,AAC,10-22,2-10,2-2,6-10,0-0
217,216,Ga. Southern,Sun Belt,13-18,5-10,2-1,6-7,2-0
218,217,LMU (CA),WCC,9-19,4-10,1-1,4-8,2-0
219,218,UT Martin,OVC,15-16,8-7,2-1,5-8,1-0
220,219,UC Santa Barbara,Big West,14-15,4-9,1-2,9-4,2-0
221,220,Idaho St.,Big Sky,10-19,2-12,1-2,7-5,1-0
222,222,UIW,Southland,15-11,8-6,0-1,7-4,4-0
223,223,Tennessee Tech,OVC,14-15,6-7,2-2,6-6,2-0
224,224,Fla. Atlantic,AAC,10-19,5-9,0-2,5-8,1-0
225,225,Grambling,SWAC,19-9,9-6,1-1,9-2,3-0
226,226,Howard,MEAC,15-16,5-8,2-4,8-4,0-0
227,227,Southern U.,SWAC,14-15,7-11,0-1,7-3,1-0
228,228,Coastal Carolina,Sun Belt,11-21,5-12,2-2,4-7,1-0
229,229,UTEP,CUSA,10-19,1-9,1-5,8-5,2-0
230,230,Binghamton,America East,12-17,6-8,0-2,6-7,2-0
231,231,Northern Ky.,Horizon,10-20,5-11,0-2,5-7,1-0
232,232,UC San Diego,Big West,10-19,5-9,0-1,5-9,2-0
233,233,Youngstown St.,Horizon,13-18,5-9,0-2,8-7,1-0
234,234,UMES,MEAC,13-15,5-10,0-1,8-4,2-0
235,236,Western Ill.,OVC,14-12,5-7,0-1,9-4,4-0
236,237,St. Thomas (MN),Summit League,13-16,7-7,0-3,6-6,2-0
237,238,Western Mich.,MAC,11-18,4-9,1-2,6-7,1-0
238,239,Detroit Mercy,Horizon,17-16,6-13,1-0,10-3,0-0
239,235,Boston U.,Patriot,19-12,5-9,0-0,14-3,1-0
240,240,Morehead St.,OVC,12-15,6-8,0-1,6-6,3-0
241,241,Jacksonville,ASUN,9-20,2-15,0-0,7-5,2-0
242,242,Little Rock,OVC,12-18,5-9,1-1,6-8,0-0
243,243,Manhattan,MAAC,18-12,7-8,0-1,11-3,0-0
244,244,NIU,MAC,14-16,5-9,2-1,7-6,1-0
245,245,Dayton,Atlantic 10,10-19,2-11,3-1,5-7,2-0
246,246,Lehigh,Patriot,16-13,7-7,1-1,8-5,1-0
247,247,Stetson,ASUN,15-14,7-7,0-2,8-5,2-0
248,248,Bethune-Cookman,SWAC,12-16,4-10,2-1,6-5,3-0
249,249,Indiana St.,MVC,11-20,6-9,2-2,3-9,0-1
250,250,Cal St. Fullerton,Big West,10-21,5-10,1-2,4-9,0-0
251,252,Canisius,MAAC,16-14,8-8,1-1,7-5,1-0
252,251,Yale,Ivy League,8-19,3-11,0-0,5-8,0-0
253,253,Akron,MAC,11-18,5-9,1-1,5-8,0-0
254,254,Oakland,Horizon,10-17,4-9,0-0,6-8,2-0
255,255,Jacksonville St.,CUSA,10-17,3-12,0-1,7-4,2-0
256,256,Eastern Ill.,OVC,15-18,6-11,1-3,8-4,0-0
257,257,Denver,Summit League,7-22,3-11,0-1,4-10,1-0
258,258,Kennesaw St.,ASUN,9-19,3-11,1-1,5-7,2-0
259,259,Samford,SoCon,11-16,3-10,0-2,8-4,3-0
260,260,Nicholls,Southland,11-18,4-12,2-1,5-5,3-0
261,261,Furman,SoCon,12-16,3-10,1-2,8-4,3-0
262,262,Tex. A&M-Commerce;,Southland,13-16,4-10,2-1,7-5,2-0
263,264,Coppin St.,MEAC,12-18,6-10,1-1,5-7,0-0
264,265,Tarleton St.,WAC,10-20,5-11,1-1,4-8,1-0
265,266,Ohio,MAC,11-19,2-12,0-1,9-6,0-0
266,267,North Ala.,ASUN,10-18,4-12,0-0,6-6,2-0
267,269,Loyola Maryland,Patriot,16-15,8-8,0-0,8-7,0-0
268,268,Cornell,Ivy League,7-19,4-11,0-0,3-8,0-0
269,263,Le Moyne,NEC,18-14,9-10,0-0,9-4,0-0
270,270,High Point,Big South,18-11,8-3,0-3,10-5,2-0
271,271,Kansas City,Summit League,10-20,2-10,1-3,7-7,2-0
272,272,Alabama A&M;,SWAC,14-16,4-10,1-2,9-4,1-0
273,273,Southern Utah,WAC,7-22,3-11,0-1,4-10,1-0
274,274,Quinnipiac,MAAC,13-18,5-10,1-2,7-6,0-0
275,275,Bucknell,Patriot,13-18,5-11,0-0,8-7,0-0
276,276,Northwestern St.,Southland,9-19,4-12,0-1,5-6,2-0
277,277,New Orleans,Southland,11-19,5-12,0-1,6-6,0-0
278,278,Omaha,Summit League,6-23,2-12,1-1,3-10,2-0
279,279,Bryant,America East,13-15,5-9,0-1,8-5,2-0
280,281,IUPUI,Horizon,7-23,2-13,0-1,5-9,0-0
281,280,Utah Valley,WAC,9-19,2-13,0-0,7-6,1-0
282,282,Weber St.,Big Sky,7-25,3-15,1-2,3-8,1-0
283,283,Mount St. Mary's,MAAC,14-17,6-10,1-1,7-6,0-0
284,284,Massachusetts,Atlantic 10,5-27,0-14,1-4,4-9,0-0
285,285,San Jose St.,Mountain West,6-24,3-13,0-2,3-9,1-0
286,286,Bellarmine,ASUN,8-19,4-12,0-0,4-7,2-0
287,287,North Dakota,Summit League,7-20,3-9,0-2,4-9,2-1
288,288,Elon,CAA,10-20,9-8,0-2,1-10,1-1
289,289,St. Bonaventure,Atlantic 10,4-26,1-15,0-1,3-10,0-0
290,290,North Florida,ASUN,6-21,2-13,0-1,4-7,3-0
291,291,Sacramento St.,Big Sky,6-25,1-12,1-1,4-12,0-0
292,292,La Salle,Atlantic 10,8-22,5-10,0-1,3-11,0-0
293,293,Radford,Big South,14-18,5-10,2-3,7-5,1-0
294,294,American,Patriot,10-20,5-10,0-0,5-10,0-0
295,295,Navy,Patriot,12-17,3-11,0-0,9-6,2-0
296,296,Tennessee St.,OVC,9-19,1-12,2-2,6-5,2-0
297,298,Hofstra,CAA,10-21,3-10,2-1,5-10,1-0
298,297,New Hampshire,America East,8-20,1-12,1-0,6-8,1-0
299,299,Presbyterian,Big South,17-14,7-8,2-2,8-4,3-0
300,300,Miami (OH),MAC,9-20,3-13,0-0,6-7,0-0
301,301,CSU Bakersfield,Big West,7-21,3-12,0-1,4-8,1-0
302,302,UMBC,America East,8-19,4-11,0-0,4-8,2-0
303,303,Valparaiso,MVC,5-25,3-13,0-2,2-10,0-0
304,304,Southeast Mo. St.,OVC,7-20,3-13,0-0,4-7,2-0
305,305,Sam Houston,CUSA,5-22,1-12,0-1,4-9,2-0
306,306,Iona,MAAC,11-19,6-10,0-1,5-8,0-0
307,307,NJIT,America East,12-18,4-11,0-0,8-7,0-0
308,308,Seattle U,WAC,6-23,3-12,0-0,3-11,0-0
309,309,South Alabama,Sun Belt,7-23,5-9,0-2,2-12,2-0
310,310,N.C. Central,MEAC,13-15,7-11,1-1,5-3,3-0
311,311,Alcorn,SWAC,11-20,3-14,2-1,6-5,1-0
312,312,UTRGV,WAC,6-23,3-12,0-0,3-11,0-0
313,313,USC Upstate,Big South,15-15,5-10,2-2,8-3,1-0
314,314,Army West Point,Patriot,10-17,5-8,0-0,5-9,2-0
315,315,Northeastern,CAA,10-17,4-8,1-1,5-8,0-0
316,316,Florida A&M;,SWAC,9-21,2-15,0-1,7-5,0-0
317,317,Central Mich.,MAC,5-22,3-13,0-0,2-9,1-0
318,318,FDU,NEC,13-17,5-11,0-0,8-6,1-0
319,319,Charleston So.,Big South,10-19,3-12,0-1,7-6,1-0
320,320,Xavier,Big East,1-27,0-13,0-2,1-12,0-0
321,321,Lafayette,Patriot,10-20,7-11,0-0,3-9,0-0
322,322,Eastern Mich.,MAC,6-22,2-14,0-0,4-8,1-0
323,323,Merrimack,NEC,12-19,5-11,0-0,7-8,0-0
324,324,Lindenwood,OVC,6-21,1-14,0-0,5-7,1-0
325,325,Marist,MAAC,6-25,2-13,0-3,4-9,0-0
326,326,Portland St.,Big Sky,6-23,2-13,0-1,4-9,2-0
327,328,Morgan St.,MEAC,6-22,2-12,1-2,3-8,2-0
328,327,SIUE,OVC,4-26,0-17,0-0,4-9,1-0
329,329,Winthrop,Big South,11-16,5-8,1-2,5-6,3-0
330,330,Bradley,MVC,5-26,1-13,1-2,3-11,1-0
331,332,Robert Morris,Horizon,4-24,1-15,0-0,3-9,2-0
332,331,Dartmouth,Ivy League,5-19,3-10,0-0,2-9,2-0
333,333,Rider,MAAC,10-21,2-13,1-1,7-7,0-0
334,334,UMass Lowell,America East,4-25,2-15,0-0,2-10,0-0
335,335,UNC Asheville,Big South,9-20,3-11,1-2,5-7,2-0
336,336,Pepperdine,WCC,3-25,2-11,0-1,1-13,2-0
337,337,Prairie View,SWAC,8-18,4-10,0-1,4-7,3-0
338,338,CSUN,Big West,3-26,1-13,0-0,2-13,0-1
339,339,Hampton,CAA,3-26,1-14,0-3,2-9,0-0
340,340,Texas Southern,SWAC,6-22,2-13,0-0,4-9,1-0
341,341,Longwood,Big South,7-21,3-14,0-1,4-6,2-0
342,342,Evansville,MVC,4-28,2-14,0-1,2-13,0-0
343,343,Central Conn. St.,NEC,9-21,3-15,0-0,6-6,0-0
344,344,Utah St.,Mountain West,4-24,3-11,0-1,1-12,1-1
345,345,Saint Peter's,MAAC,7-23,3-14,0-1,4-8,0-0
346,346,Queens (NC),ASUN,4-22,2-12,0-0,2-10,3-0
347,347,Mississippi Val.,SWAC,4-27,3-16,0-2,1-9,0-0
348,348,Houston Christian,Southland,2-23,1-15,0-0,1-8,4-0
349,349,Gardner-Webb,Big South,6-24,2-14,0-1,4-9,0-0
350,350,Western Caro.,SoCon,3-24,2-11,0-1,1-12,3-0
351,351,Delaware St.,MEAC,6-20,2-12,0-1,4-7,2-0
352,352,McNeese,Southland,2-25,0-12,0-0,2-13,4-0
353,353,UNCW,CAA,4-25,2-13,0-1,2-11,1-0
354,354,LIU,NEC,8-22,3-13,0-0,5-9,0-0
355,355,Alabama St.,SWAC,3-26,2-17,0-0,1-9,0-0
356,356,Wagner,NEC,6-21,2-12,0-2,4-7,1-0
357,357,Chicago St.,DI Independent,0-26,0-12,0-4,0-10,1-0
358,358,South Carolina St.,MEAC,2-28,0-18,0-2,2-8,0-0
359,359,Stonehill,NEC,4-26,1-14,0-0,3-12,0-0
360,360,Saint Francis (PA),NEC,5-25,1-16,0-0,4-9,0-0
