Rank,Previous,School,Conference,Record,Road,Neutral,Home,Non Div I
1,1,South Carolina,SEC,32-0,12-0,5-0,15-0,0-0
2,2,UConn,Big East,28-5,10-3,5-1,13-1,1-0
3,3,Texas,Big 12,30-4,9-2,6-0,15-2,0-0
4,4,Stanford,Pac-12,28-5,9-2,4-1,15-2,0-0
5,5,Iowa,Big Ten,29-4,8-3,8-0,13-1,0-0
6,6,UCLA,Pac-12,25-6,7-4,4-1,14-1,0-0
7,7,Notre Dame,ACC,26-6,11-2,4-1,11-3,0-0
8,8,LSU,SEC,28-5,8-2,4-2,16-1,0-0
9,9,Ohio St.,Big Ten,24-5,8-2,2-2,14-1,1-0
10,10,Southern California,Pac-12,26-5,7-3,6-0,13-2,0-0
11,11,Utah,Pac-12,20-10,7-5,2-2,11-3,2-0
12,12,Gonzaga,WCC,30-3,12-1,4-2,14-0,0-0
13,13,NC State,ACC,27-6,7-4,5-1,15-1,0-0
14,14,Indiana,Big Ten,24-5,7-4,2-1,15-0,0-0
15,15,Kansas St.,Big 12,25-7,6-4,4-2,15-1,0-0
16,16,Colorado,Pac-12,22-9,7-4,4-2,11-3,0-0
17,17,Oregon St.,Pac-12,24-7,5-4,3-1,16-2,0-0
18,18,Baylor,Big 12,24-7,6-4,4-1,14-2,0-0
19,19,Virginia Tech,ACC,24-7,6-5,3-2,15-0,0-0
20,20,Duke,ACC,20-11,5-7,1-1,14-3,0-0
21,21,West Virginia,Big 12,24-7,6-4,4-1,14-2,0-0
22,22,Michigan St.,Big Ten,22-8,6-4,3-2,13-2,0-0
23,23,Louisville,ACC,24-9,7-5,3-2,14-2,0-0
24,24,Creighton,Big East,25-5,10-2,4-1,11-2,0-0
25,25,Nebraska,Big Ten,22-11,5-6,4-2,13-3,0-0
26,26,UNLV,Mountain West,30-2,14-1,1-0,15-1,0-0
27,27,Penn St.,Big Ten,19-12,5-6,2-2,12-4,0-0
28,28,Oklahoma,Big 12,22-9,8-3,1-4,13-2,0-0
29,29,Washington St.,Pac-12,18-14,7-6,2-2,9-6,0-0
30,30,Tennessee,SEC,19-12,5-5,3-3,11-4,0-0
31,31,Maryland,Big Ten,19-13,3-8,4-2,12-3,0-0
