TeamID,HomeWins,HomeLosses,AwayWins,AwayLosses,NeutralWins,NeutralLosses,TotalWins,TotalLosses,OpponentHomeWins,OpponentHomeLosses,OpponentAwayWins,OpponentAwayLosses,OpponentNeutralWins,OpponentNeutralLosses,OpponentTotalWins,OpponentTotalLosses,TeamName
201,14,4,5,6,2,1,21,11,203,93,102,156,59,44,364,293,New_Mexico
295,13,4,4,7,4,1,21,12,211,106,78,187,43,40,332,333,TCU
176,12,4,4,6,5,2,21,12,271,106,101,207,62,49,434,362,Mississippi_St
163,16,1,2,9,3,2,21,12,258,105,106,169,51,47,415,321,Maryland
108,11,4,5,5,5,2,21,11,177,90,120,168,40,52,337,310,Grand_Canyon
101,14,2,4,7,2,4,20,13,269,116,139,191,46,61,454,368,George_Mason
308,12,3,5,4,3,4,20,11,195,115,83,167,35,40,313,322,Tulane
283,14,3,4,7,2,2,20,12,284,101,115,182,64,58,463,341,St_Louis
48,14,3,4,7,2,2,20,12,205,122,97,157,47,43,349,322,Cincinnati
122,15,2,3,7,2,3,20,12,259,107,99,172,52,49,410,328,Illinois
209,12,3,4,7,4,3,20,13,276,107,112,168,59,52,447,327,North_Carolina
17,14,2,4,8,2,2,20,12,303,108,113,167,63,58,479,333,Auburn
3,13,1,5,6,2,4,20,11,184,86,110,190,34,39,328,315,Akron
77,16,4,3,7,1,1,20,12,259,118,121,211,47,59,427,388,Duquesne
192,12,3,6,6,2,3,20,12,166,74,106,159,24,30,296,263,N_Kentucky
22,11,2,7,7,2,2,20,11,191,78,96,176,45,38,332,292,Belmont
51,12,2,7,9,1,1,20,12,150,77,81,194,16,28,247,299,Cleveland_St
14,14,3,2,8,4,2,20,13,295,98,127,160,65,62,487,320,Arkansas
335,12,5,5,6,3,3,20,14,297,94,128,158,64,56,489,308,Vanderbilt
129,13,3,3,8,3,2,19,13,224,90,80,159,50,37,354,286,Iowa_St
249,13,5,4,7,2,2,19,14,252,105,106,182,41,47,399,334,Rutgers
259,11,3,5,8,3,2,19,13,197,104,105,162,46,41,348,307,San_Jose_St
226,14,5,4,6,1,3,19,14,233,86,113,144,52,46,398,276,Oregon
340,13,4,2,9,4,1,19,14,259,119,107,175,52,53,418,347,Virginia_Tech
362,8,1,8,6,3,1,19,8,141,79,88,157,20,25,249,261,Yale
173,12,2,5,6,2,4,19,12,264,91,99,155,49,53,412,299,Michigan_St
134,9,3,8,6,2,2,19,11,174,93,100,193,38,39,312,325,James_Madison
238,9,3,7,4,3,1,19,8,131,84,96,159,26,16,253,259,Princeton
242,8,4,9,6,2,2,19,12,135,104,104,176,36,34,275,314,Quinnipiac
350,13,4,3,8,3,2,19,14,244,83,109,143,50,39,403,265,West_Virginia
258,10,5,5,6,4,3,19,14,187,140,94,166,49,40,330,346,San_Francisco
346,13,3,4,8,2,3,19,14,256,123,93,187,47,59,396,369,Wake_Forest
128,14,3,4,7,1,3,19,13,255,100,90,179,60,54,405,333,Iowa
293,9,3,7,7,3,0,19,10,114,92,76,159,27,21,217,272,TAM_C._Christi
118,9,2,6,8,4,2,19,12,146,96,96,188,27,41,269,325,Howard
149,10,3,8,8,0,1,18,12,133,99,87,195,29,34,249,328,Longwood
7,7,2,10,9,1,2,18,13,169,98,106,224,42,41,317,363,Alcorn_St
251,9,2,6,9,3,2,18,13,179,65,102,162,42,34,323,261,S_Dakota_St
281,12,6,4,8,2,1,18,15,192,112,90,169,30,44,312,325,St_John's
153,12,3,4,7,2,2,18,12,197,107,100,155,56,42,353,304,Loy_Marymount
19,10,2,6,7,2,3,18,12,172,100,92,212,27,41,291,353,Ball_St
255,10,2,8,7,0,1,18,10,119,95,78,167,35,31,232,293,Samford
207,6,2,6,8,6,1,18,11,139,74,81,172,22,28,242,274,Norfolk_St
220,13,1,4,12,1,1,18,14,181,94,115,211,26,39,322,344,Ohio
224,11,4,6,5,1,3,18,12,202,92,116,178,53,30,371,300,Old_Dominion
63,9,2,7,8,2,3,18,13,154,97,107,160,34,34,295,291,CS_Fullerton
317,11,6,4,6,3,2,18,14,212,112,102,146,46,42,360,300,UCF
45,11,4,5,8,2,2,18,14,150,109,90,177,31,26,271,312,Charlotte
223,11,5,5,7,2,3,18,15,225,97,91,157,56,40,372,294,Oklahoma_St
277,9,2,5,8,4,2,18,12,161,82,107,162,42,46,310,290,Southern_Utah
352,12,3,6,7,0,1,18,11,138,73,86,152,30,27,254,252,WI_Milwaukee
324,10,8,5,5,3,0,18,13,208,89,91,148,44,45,343,282,UNLV
322,9,3,8,6,1,3,18,12,167,79,111,155,32,40,310,274,UNC_Greensboro
264,10,2,7,7,1,3,18,12,174,98,111,176,44,52,329,326,Seattle
353,8,9,7,4,2,2,17,15,216,99,85,174,54,42,355,315,Wichita_St
243,8,3,7,10,2,1,17,14,165,84,84,186,28,32,277,302,Radford
55,12,4,2,9,3,3,17,16,223,90,106,149,59,43,388,282,Colorado
79,11,2,5,10,1,1,17,13,181,87,129,203,35,27,345,317,E_Kentucky
146,10,2,7,11,0,0,17,13,167,112,109,214,26,29,302,355,Lipscomb
307,8,3,7,8,2,2,17,13,174,104,115,171,40,35,329,310,Troy
35,11,5,2,7,4,3,17,15,211,93,101,151,41,51,353,295,BYU
187,10,2,3,11,4,1,17,14,170,76,106,139,35,32,311,247,MTSU
183,10,2,7,8,0,1,17,11,139,78,81,170,27,24,247,272,Morehead_St
87,8,5,8,9,1,1,17,15,128,123,86,213,15,29,229,365,F_Dickinson
292,11,7,5,6,1,2,17,15,257,119,98,192,43,54,398,365,Syracuse
328,12,6,4,7,1,2,17,15,204,112,77,176,48,46,329,334,Utah
267,8,5,7,8,2,2,17,15,132,136,99,181,32,36,263,353,Siena
356,10,6,5,6,2,2,17,14,261,90,88,168,51,53,400,311,Wisconsin
286,10,2,4,11,3,1,17,14,143,86,98,191,27,29,268,306,St_Thomas_MN
263,7,4,5,11,5,1,17,16,165,88,90,182,21,26,276,296,SE_Missouri_St
338,10,4,5,9,2,3,17,16,213,104,86,151,38,50,337,305,Villanova
8,8,6,9,9,0,0,17,15,131,119,85,206,17,29,233,354,American_Univ
320,12,4,5,10,0,0,17,14,154,109,90,226,19,26,263,361,UMBC
270,8,4,4,10,5,2,17,16,185,111,112,180,42,34,339,325,South_Alabama
348,10,3,4,10,3,3,17,16,234,99,103,147,47,45,384,291,Washington_St
193,8,6,9,7,0,0,17,13,150,97,111,187,21,25,282,309,Navy
172,12,4,3,7,2,4,17,15,267,92,108,175,49,49,424,316,Michigan
221,10,6,1,10,5,3,16,19,259,101,96,173,48,48,403,322,Ohio_St
296,9,7,5,6,2,3,16,16,231,118,99,161,49,45,379,324,Temple
198,11,4,4,8,1,4,16,16,251,107,93,179,59,48,403,334,Nebraska
75,11,3,3,10,2,2,16,15,166,119,115,200,37,47,318,366,Drexel
181,8,4,6,9,2,1,16,14,163,78,110,166,35,39,308,283,Montana
91,11,5,4,7,1,4,16,16,292,104,113,182,60,53,465,339,Florida
169,8,6,8,8,0,2,16,16,168,87,106,199,18,27,292,313,Merrimack
303,11,6,3,7,2,3,16,16,209,101,77,190,53,42,339,333,Texas_Tech
179,10,4,5,8,1,3,16,15,178,81,99,152,47,39,324,272,Missouri_St
89,8,5,6,9,2,1,16,15,208,102,116,231,34,29,358,362,FGCU
229,10,4,6,9,0,0,16,13,164,87,101,152,39,34,304,273,Penn
188,10,2,3,11,3,2,16,15,160,95,85,178,41,35,286,308,Murray_St
265,9,6,6,6,1,3,16,15,211,85,89,150,43,38,343,273,Seton_Hall
26,9,7,4,7,3,3,16,17,256,108,91,201,40,58,387,367,Boston_College
82,10,6,2,9,4,2,16,17,182,131,98,183,47,51,327,365,East_Carolina
312,8,4,5,9,3,1,16,14,152,105,107,163,32,33,291,301,UC_Davis
103,14,4,1,10,1,2,16,16,252,134,103,192,55,61,410,387,Georgia
347,12,6,2,9,2,1,16,16,217,100,89,164,45,52,351,316,Washington
282,10,6,4,7,2,4,16,17,259,132,111,213,37,49,407,394,St_Joseph's_PA
268,6,5,7,8,3,1,16,14,152,78,85,180,21,29,258,287,SIUE
359,7,6,7,8,2,1,16,15,135,101,89,170,19,38,243,309,Wright_St
266,9,4,6,5,1,4,16,13,169,70,124,176,41,44,334,290,SF_Austin
69,9,5,4,10,3,1,16,16,189,110,118,208,36,41,343,359,Delaware
349,6,4,8,8,2,3,16,15,142,98,89,178,38,40,269,316,Weber_St
