TeamID,HomeWins,HomeLosses,AwayWins,AwayLosses,NeutralWins,NeutralLosses,TotalWins,TotalLosses,OpponentHomeWins,OpponentHomeLosses,OpponentAwayWins,OpponentAwayLosses,OpponentNeutralWins,OpponentNeutralLosses,OpponentTotalWins,OpponentTotalLosses,TeamName
58,16,0,9,3,6,0,31,3,201,106,91,168,36,31,328,305,Connecticut
115,17,0,7,3,6,1,30,4,296,95,109,181,57,56,462,332,Houston
133,13,1,12,2,5,0,30,3,163,121,85,217,41,50,289,388,James_Madison
240,16,0,7,3,6,1,29,4,298,76,110,158,55,43,463,277,Purdue
108,16,0,8,3,4,1,28,4,167,83,97,172,32,27,296,282,Grand_Canyon
128,18,0,5,5,4,2,27,7,263,125,100,197,57,47,420,369,Iowa_St
125,12,1,9,4,6,1,27,6,172,114,93,171,31,40,296,325,Indiana_St
209,14,1,8,2,5,4,27,7,276,109,113,174,56,44,445,327,North_Carolina
74,15,0,6,5,6,1,27,6,185,88,117,159,52,33,354,280,Drake
255,16,0,8,5,3,0,27,5,155,81,96,182,37,35,288,298,Samford
17,15,1,5,5,7,1,27,7,276,111,109,176,66,61,451,348,Auburn
271,14,3,8,3,4,1,26,7,253,139,89,198,54,54,396,391,South_Carolina
165,14,0,11,3,1,0,26,3,128,74,96,161,22,34,246,269,McNeese_St
336,14,1,10,4,2,1,26,6,171,84,119,179,27,26,317,289,Vermont
53,12,2,10,2,4,3,26,7,204,101,97,214,57,47,358,362,Col_Charleston
121,15,3,6,5,5,0,26,8,265,99,111,169,50,43,426,311,Illinois
9,13,0,8,4,4,2,25,6,189,100,107,204,39,42,335,346,Appalachian_St
201,12,3,5,6,8,0,25,9,189,93,113,136,44,40,346,269,New_Mexico
90,13,1,5,5,7,2,25,8,266,112,124,174,53,58,443,344,FL_Atlantic
161,14,2,7,5,4,2,25,9,228,94,96,147,46,30,370,271,Marquette
328,12,1,8,4,5,1,25,6,192,92,103,145,59,39,354,276,Utah_St
10,15,1,7,4,3,3,25,8,256,71,101,144,49,56,406,271,Arizona
199,14,2,8,3,3,2,25,7,198,120,108,158,59,48,365,326,Nevada
283,13,4,9,0,3,3,25,7,216,95,94,155,50,48,360,298,St_Mary's_CA
76,15,3,7,4,2,1,24,8,269,111,96,190,54,51,419,352,Duke
273,15,2,7,4,2,1,24,7,219,106,111,187,46,49,376,342,South_Florida
54,12,3,10,5,2,1,24,9,159,101,130,170,24,25,313,296,Colgate
296,14,2,8,3,2,3,24,8,301,91,117,165,76,59,494,315,Tennessee
91,14,1,3,7,7,3,24,11,280,123,121,168,56,54,457,345,Florida
347,15,2,6,4,3,3,24,9,208,96,95,168,41,55,344,319,Washington_St
106,12,2,8,2,4,3,24,7,195,90,100,156,43,42,338,288,Gonzaga
55,16,1,4,7,4,2,24,10,227,94,98,149,41,64,366,307,Colorado
68,15,0,6,5,3,2,24,7,290,102,124,174,61,47,475,323,Dayton
77,12,4,5,6,6,1,23,11,275,100,131,179,57,47,463,326,Duquesne
219,10,3,9,7,4,1,23,11,193,97,100,172,34,28,327,297,Oakland
61,14,2,8,5,1,2,23,9,224,93,92,146,39,41,355,280,Creighton
226,13,3,6,5,4,3,23,11,226,97,84,157,38,62,348,316,Oregon
35,16,2,3,7,4,1,23,10,271,111,90,204,60,53,421,368,BYU
198,18,1,3,8,2,1,23,10,255,106,94,186,48,44,397,336,Nebraska
338,15,2,5,6,3,2,23,10,256,109,107,184,59,58,422,351,Virginia
302,15,2,4,6,4,2,23,10,277,113,94,200,55,51,426,364,Texas_Tech
112,14,2,7,5,2,1,23,8,148,91,95,200,29,37,272,328,High_Point
312,12,0,8,8,3,1,23,9,166,106,102,170,45,35,313,311,UC_Irvine
242,12,3,10,5,1,1,23,9,134,109,105,191,26,25,265,325,Quinnipiac
138,14,4,7,3,2,2,23,9,272,116,98,185,62,63,432,364,Kentucky
246,15,1,7,5,1,3,23,9,252,143,104,207,56,66,412,416,Richmond
3,11,1,7,6,4,3,22,10,188,94,122,160,42,43,352,297,Akron
238,10,0,11,3,1,1,22,4,148,69,85,158,31,25,264,252,Princeton
310,11,5,7,5,4,1,22,11,251,96,115,185,51,57,417,338,UAB
355,14,3,3,9,5,1,22,13,278,92,107,165,50,44,435,301,Wisconsin
233,13,5,7,4,2,2,22,11,252,117,88,204,50,56,390,377,Pittsburgh
196,12,5,4,7,6,2,22,14,249,124,93,197,44,46,386,367,NC_State
258,13,2,6,5,3,3,22,10,183,127,87,175,32,49,302,351,San_Francisco
183,10,1,9,7,3,0,22,8,149,81,86,174,25,25,260,280,Morehead_St
167,13,2,7,6,2,2,22,10,250,134,106,190,55,63,411,387,Memphis
335,13,6,5,4,4,3,22,13,286,99,126,188,60,55,472,342,VCU
155,14,2,7,4,1,3,22,9,253,119,113,190,54,50,420,359,Loyola-Chicago
20,14,2,4,5,4,3,22,10,291,88,100,177,59,53,450,318,Baylor
56,13,2,4,7,5,1,22,10,197,93,118,125,47,42,362,260,Colorado_St
257,12,1,6,8,4,1,22,10,209,86,119,120,54,41,382,247,San_Diego_St
50,12,4,6,6,3,1,21,11,273,102,117,173,58,50,448,325,Clemson
176,11,4,2,8,8,1,21,13,277,109,119,178,48,62,444,349,Mississippi_St
29,12,3,6,6,3,2,21,11,208,80,108,151,55,32,371,263,Bradley
4,14,2,5,5,2,4,21,11,302,93,127,156,77,51,506,300,Alabama
12,14,4,6,6,1,2,21,12,131,128,99,215,21,25,251,368,Ark_Little_Rock
216,15,2,4,7,2,2,21,11,239,119,82,201,48,46,369,366,Northwestern
88,9,4,10,6,2,2,21,12,142,96,116,188,19,23,277,307,Fairfield
294,12,4,6,5,3,3,21,12,268,120,85,219,49,47,402,386,TCU
281,14,3,3,9,4,1,21,13,241,145,130,193,54,52,425,390,St_Joseph's_PA
239,14,4,4,7,3,2,21,13,207,110,95,150,36,34,338,294,Providence
134,15,1,3,7,3,2,21,10,286,99,113,155,61,53,460,307,Kansas
25,11,3,7,3,2,4,20,10,209,90,104,132,52,44,365,266,Boise_St
48,14,5,4,7,2,2,20,14,285,101,107,200,57,46,449,347,Cincinnati
60,8,1,10,5,2,1,20,7,141,94,95,158,22,26,258,278,Cornell
175,14,4,4,7,2,1,20,12,261,117,117,192,63,57,441,366,Mississippi
280,13,5,5,6,2,2,20,13,211,110,83,154,45,44,339,308,St_John's
164,13,3,4,6,3,2,20,11,251,133,119,187,42,56,412,376,Massachusetts
