TeamID,HomeWins,HomeLosses,AwayWins,AwayLosses,NeutralWins,NeutralLosses,TotalWins,TotalLosses,OpponentHomeWins,OpponentHomeLosses,OpponentAwayWins,OpponentAwayLosses,OpponentNeutralWins,OpponentNeutralLosses,OpponentTotalWins,OpponentTotalLosses,TeamName,Ranking,Quadrant
136,6,6,3,12,0,0,9,18,156,91,93,175,23,24,272,290,Kennesaw St.,115.0,3
45,11,4,6,6,0,4,17,14,206,105,118,177,41,46,365,328,Charlotte,116.0,3
185,13,0,5,9,3,1,21,10,176,106,108,159,37,39,321,304,Middle Tenn.,117.0,3
22,12,1,10,4,2,2,24,7,176,80,114,170,37,31,327,281,Belmont,118.0,3
155,5,6,6,9,1,1,12,16,127,97,90,167,15,13,232,277,UMass Lowell,119.0,3
249,10,4,4,8,1,3,15,15,143,104,86,156,40,48,269,308,Southern Ill.,120.0,3
63,9,2,7,7,3,1,19,10,128,93,75,155,22,29,225,277,Cal St. Fullerton,121.0,3
342,11,6,3,7,3,2,17,15,202,96,111,140,39,36,352,272,Washington,122.0,3
358,10,7,6,7,0,0,16,14,123,102,72,189,19,32,214,323,Youngstown St.,123.0,3
173,10,8,2,7,1,4,13,19,275,113,101,186,60,50,436,349,Ole Miss,124.0,3
291,11,3,5,6,1,3,17,12,182,96,80,143,39,41,301,280,Temple,125.0,3
287,11,5,3,8,2,4,16,17,251,124,131,157,38,51,420,332,Syracuse,126.0,3
111,8,4,5,5,2,2,15,11,115,81,74,135,18,25,207,241,Hawaii,127.0,3
81,7,3,8,10,1,2,16,15,128,104,82,160,31,22,241,286,Eastern Wash.,128.0,3
301,12,2,11,4,2,2,25,8,167,106,122,172,27,41,316,319,Towson,129.0,3
77,3,11,1,10,2,3,6,24,214,114,102,189,43,42,359,345,Duquesne,130.0,3
34,8,7,3,8,1,4,12,19,195,82,80,130,45,33,320,245,Butler,131.0,3
60,8,2,5,8,0,1,13,11,102,81,72,146,19,19,193,246,Cornell,132.0,3
218,14,2,8,6,1,1,23,9,151,109,112,172,26,25,289,306,Ohio,133.0,3
94,10,4,3,9,3,3,16,16,201,131,117,188,45,43,363,362,Fordham,134.0,3
302,7,3,8,6,2,2,17,11,133,96,88,182,34,30,255,308,Troy,135.0,3
252,10,2,5,8,3,1,18,11,123,87,87,161,27,30,237,278,Samford,136.0,3
309,8,4,6,7,0,1,14,12,139,72,82,129,23,34,244,235,UC Riverside,137.0,3
263,10,3,7,4,1,2,18,9,172,74,100,158,36,28,308,260,SFA,138.0,3
100,10,4,4,8,0,4,14,16,224,110,111,168,48,49,383,327,George Mason,139.0,3
316,6,6,6,7,1,1,13,14,131,88,89,184,30,29,250,301,UNC Asheville,140.0,3
227,6,3,5,10,1,3,12,16,165,86,95,150,27,33,287,269,Penn,141.0,3
177,11,4,8,4,3,2,22,10,169,82,98,156,37,51,304,289,Missouri St.,142.0,3
261,15,2,6,6,0,1,21,9,155,113,96,212,30,31,281,356,Seattle U,143.0,3
318,10,2,9,5,2,2,21,9,120,95,78,152,24,29,222,276,UNCW,144.0,3
67,12,1,10,3,4,2,26,6,216,115,99,178,46,53,361,346,Davidson,145.0,3
95,10,4,5,8,3,1,18,13,186,114,84,169,41,36,311,319,Fresno St.,146.0,3
307,6,4,5,5,1,1,12,10,96,89,58,143,19,27,173,259,UC Davis,147.0,3
144,6,6,4,13,1,0,11,19,179,94,120,202,28,27,327,323,Lipscomb,148.0,3
2,7,6,2,11,2,1,11,18,166,102,87,180,38,25,291,307,Air Force,149.0,3
19,8,5,4,9,1,3,13,17,140,119,91,187,28,31,259,337,Ball St.,150.0,3
154,15,2,3,8,4,1,22,11,271,111,116,172,55,54,442,337,LSU,151.0,3
102,6,13,0,10,0,3,6,26,277,111,99,190,53,50,429,351,Georgia,152.0,3
222,9,4,3,11,0,4,12,19,200,104,110,161,34,50,344,315,Old Dominion,153.0,3
190,10,4,7,7,1,1,18,12,134,97,75,170,10,21,219,288,Northern Ky.,154.0,3
248,13,0,11,3,4,1,28,4,157,93,99,158,25,29,281,280,South Dakota St.,155.0,3
325,6,6,3,11,0,1,9,18,154,92,95,159,35,22,284,273,Utah Tech,156.0,3
284,3,8,4,11,0,0,7,19,146,97,88,189,15,21,249,307,Stetson,157.0,3
110,6,6,4,7,0,0,10,13,110,72,74,131,22,25,206,228,Harvard,158.0,3
243,11,4,7,5,5,3,23,12,242,114,119,185,48,55,409,354,Richmond,159.0,3
270,6,10,2,9,0,4,8,23,204,85,89,158,38,50,331,293,South Fla.,160.0,3
146,9,3,6,6,3,3,18,12,152,68,100,128,31,27,283,223,Long Beach St.,161.0,3
289,7,5,4,12,0,0,11,17,178,91,91,163,39,27,308,281,Tarleton St.,162.0,3
72,11,7,4,9,0,0,15,16,179,102,89,146,35,36,303,284,DePaul,163.0,3
232,8,4,6,8,2,2,16,14,163,104,91,176,36,45,290,325,Portland,164.0,3
79,8,5,1,13,0,0,9,18,141,111,97,195,17,25,255,331,Eastern Ky.,165.0,3
147,12,1,7,5,3,0,22,6,125,97,75,194,24,31,224,322,Longwood,166.0,3
179,11,3,4,10,0,1,15,14,114,107,71,165,29,25,214,297,Montana,167.0,3
26,9,7,2,10,2,3,13,20,198,143,104,163,35,44,337,350,Boston College,168.0,3
37,11,5,3,9,1,1,15,15,158,108,95,202,27,25,280,335,California Baptist,169.0,3
149,10,3,8,5,3,2,21,10,174,101,90,169,33,39,297,309,Louisiana Tech,170.0,3
51,13,3,5,6,0,1,18,10,114,82,75,145,16,23,205,250,Cleveland St.,171.0,3
355,13,1,8,5,3,2,24,8,195,92,96,172,50,31,341,295,Wyoming,172.0,3
191,8,6,11,5,1,0,20,11,150,89,90,187,19,22,259,298,Navy,173.0,3
239,7,7,4,9,2,1,13,17,104,95,81,155,20,18,205,268,Quinnipiac,174.0,3
288,6,4,7,6,6,1,19,11,77,88,43,167,25,32,145,287,A&M-Corpus; Christi,175.0,3
46,10,3,12,4,3,0,25,7,144,66,103,138,31,24,278,228,Chattanooga,176.0,3
352,11,4,5,6,1,3,17,13,200,108,89,192,37,39,326,339,Western Ky.,177.0,3
88,13,3,6,8,0,0,19,11,156,101,100,223,29,25,285,349,FGCU,178.0,3
104,8,10,3,8,0,2,11,20,213,137,104,171,46,44,363,352,Georgia Tech,179.0,3
106,4,4,3,14,3,2,10,20,161,86,95,217,35,29,291,332,Grambling,180.0,3
205,8,0,7,6,6,0,21,6,87,78,61,152,18,26,166,256,Norfolk St.,181.0,3
31,13,1,7,7,1,1,21,9,126,98,91,177,14,16,231,291,Bryant,182.0,3
30,4,7,6,7,1,2,11,16,164,86,99,154,23,30,286,270,Brown,183.0,3
240,6,4,3,12,0,2,9,18,147,101,99,180,33,31,279,312,Radford,184.0,3
193,5,2,5,12,2,1,12,15,100,76,85,142,34,22,219,240,N.C. Central,185.0,3
216,14,1,7,5,0,4,21,10,240,119,115,152,53,49,408,320,Notre Dame,186.0,3
344,7,6,8,5,4,1,19,12,131,102,78,167,32,29,241,298,Weber St.,187.0,3
82,12,4,2,7,1,4,15,15,185,94,83,170,35,45,303,309,East Carolina,188.0,3
200,10,2,9,3,4,1,23,6,161,81,89,143,26,28,276,252,New Mexico St.,189.0,3
226,6,7,0,13,0,2,6,22,160,99,92,146,35,33,287,278,Pacific,190.0,3
75,7,4,6,7,1,3,14,14,139,82,90,145,24,35,253,262,Drexel,191.0,3
327,9,6,7,5,1,2,17,13,176,86,86,171,36,40,298,297,UTEP,192.0,3
33,7,3,9,5,1,3,17,11,153,87,94,148,27,34,274,269,Buffalo,193.0,3
297,9,1,7,5,2,1,18,7,121,84,77,154,31,26,229,264,Texas St.,194.0,3
354,11,3,7,7,2,3,20,13,138,103,88,157,19,30,245,290,Wright St.,195.0,3
282,2,8,3,12,2,0,7,20,130,88,95,154,22,24,247,266,St. Thomas (MN),196.0,3
9,8,4,6,7,2,3,16,14,172,73,123,141,42,30,337,244,App State,197.0,3
99,8,3,6,9,1,1,15,13,148,91,84,172,26,33,258,296,Gardner-Webb,198.0,3
274,13,2,4,4,3,3,20,9,220,100,111,162,52,45,383,307,St. Bonaventure,199.0,3
278,9,7,1,10,1,2,11,19,209,109,120,168,44,51,373,328,Saint Joseph's,200.0,3
229,6,9,0,13,0,3,6,25,193,100,94,170,41,43,328,313,Pepperdine,201.0,4
242,8,5,4,8,2,3,14,16,175,101,92,174,38,46,305,321,Rice,202.0,4
215,3,6,2,13,1,4,6,23,140,61,75,122,47,38,262,221,Northwestern St.,203.0,4
162,10,5,3,9,2,3,15,17,220,122,116,173,48,48,384,343,Massachusetts,205.0,4
1,10,3,6,6,3,1,19,10,141,89,77,164,26,24,244,277,Abilene Christian,206.0,4
98,4,5,4,10,2,1,10,16,112,85,79,148,25,30,216,263,Ga. Southern,207.0,4
264,8,5,7,8,0,1,15,14,129,90,85,153,31,26,245,269,Siena,208.0,4
266,16,0,6,5,1,3,23,8,197,108,83,159,38,53,318,320,SMU,209.0,4
347,5,10,4,10,0,2,9,22,138,99,80,172,20,26,238,297,Milwaukee,210.0,4
97,8,5,3,10,1,3,12,18,204,115,118,182,45,46,367,343,George Washington,211.0,4
73,8,1,5,14,0,0,13,15,143,108,99,169,28,32,270,309,Detroit Mercy,212.0,4
186,12,0,11,1,4,1,27,2,142,66,97,149,29,27,268,242,Murray St.,213.0,4
117,5,4,5,8,3,1,13,13,100,82,74,179,20,29,194,290,Howard,214.0,4
188,10,3,9,6,2,1,21,10,133,96,85,167,26,20,244,283,North Dakota St.,215.0,4
213,9,4,8,4,1,3,18,11,172,60,93,116,35,48,300,224,UNI,216.0,4
244,6,6,4,11,3,2,13,19,122,94,82,162,26,27,230,283,Rider,217.0,4
92,9,5,1,11,3,1,13,17,163,138,91,205,24,37,278,380,FIU,218.0,4
265,6,5,3,13,0,3,9,21,136,92,95,182,24,30,255,304,SIUE,219.0,4
172,8,7,3,9,2,1,13,17,230,94,98,148,44,36,372,278,Minnesota,220.0,4
93,11,4,4,8,2,2,17,14,231,122,110,169,47,49,388,340,Florida St.,221.0,4
225,3,13,0,12,0,3,3,28,214,94,91,131,47,41,352,266,Oregon St.,222.0,4
139,8,8,2,10,1,1,11,19,189,110,101,185,45,45,335,340,La Salle,223.0,4
65,4,8,4,9,1,1,9,18,100,73,69,130,26,16,195,219,Sacramento St.,224.0,4
69,8,5,8,6,5,1,21,12,168,91,107,169,28,34,303,294,Delaware,225.0,4
353,9,4,7,8,1,1,17,13,135,90,85,159,32,32,252,281,Wofford,226.0,4
166,8,4,4,11,2,2,14,17,163,75,107,157,35,22,305,254,Mercer,227.0,4
181,9,2,8,8,3,1,20,11,135,82,90,163,27,29,252,274,Morehead St.,228.0,4
337,7,5,2,14,1,2,10,21,161,100,108,171,27,31,296,302,Western Caro.,229.0,4
253,6,6,5,8,2,2,13,16,164,100,79,151,32,35,275,286,San Diego,230.0,4
212,3,11,3,11,1,1,7,23,133,82,85,144,38,21,256,247,Northern Ariz.,231.0,4
164,3,4,5,10,0,1,8,15,100,60,62,128,27,29,189,217,UMES,232.0,4
40,7,4,5,8,1,1,13,13,119,88,92,166,23,26,234,280,Campbell,233.0,4
268,11,4,4,7,2,2,17,13,257,107,100,159,51,48,408,314,South Carolina,234.0,4
187,7,4,8,9,3,1,18,14,156,89,87,151,31,20,274,260,Northern Colo.,235.0,4
131,11,0,6,10,0,0,17,10,116,111,75,185,16,23,207,319,Jacksonville,236.0,4
230,12,2,6,7,1,2,19,11,114,96,83,169,13,25,210,290,Purdue Fort Wayne,237.0,4
209,4,5,4,15,0,0,8,20,198,83,100,183,30,31,328,297,North Florida,238.0,4
206,3,7,2,12,0,2,5,21,164,78,87,188,22,20,273,286,North Ala.,239.0,4
