TeamID,HomeWins,HomeLosses,AwayWins,AwayLosses,NeutralWins,NeutralLosses,TotalWins,TotalLosses,OpponentHomeWins,OpponentHomeLosses,OpponentAwayWins,OpponentAwayLosses,OpponentNeutralWins,OpponentNeutralLosses,OpponentTotalWins,OpponentTotalLosses,TeamName
76,17,0,10,1,4,2,31,3,319,118,125,194,59,55,503,367,Duke
115,16,1,10,0,4,3,30,4,289,103,117,179,64,56,470,338,Houston
281,18,0,8,2,4,2,30,4,225,93,90,154,35,39,350,286,St_John's
91,15,1,7,3,8,0,30,4,297,127,122,189,78,52,497,368,Florida
167,13,2,11,2,5,1,29,5,273,93,122,151,65,57,460,301,Memphis
315,11,2,12,2,5,0,28,4,150,105,99,177,32,26,281,308,UC_San_Diego
74,12,2,10,1,6,0,28,3,155,103,85,149,32,38,272,290,Drake
17,13,2,8,2,7,1,28,5,350,91,145,163,86,49,581,303,Auburn
174,15,1,8,2,4,3,27,6,307,128,132,187,65,55,504,370,Michigan_St
313,9,2,14,3,4,1,27,6,176,99,112,165,36,34,324,298,UC_Irvine
112,14,1,7,3,6,1,27,5,156,84,96,195,39,36,291,315,High_Point
336,14,1,7,3,6,2,27,6,253,130,95,204,45,57,393,391,VCU
50,15,2,9,3,3,1,27,6,309,119,119,205,55,59,483,383,Clemson
297,16,1,6,5,5,1,27,7,307,115,124,188,83,48,514,351,Tennessee
284,15,1,9,1,3,3,27,5,218,102,105,150,50,46,373,298,St_Mary's_CA
152,14,3,9,2,4,2,27,7,321,122,108,201,56,57,485,380,Louisville
357,14,3,6,5,6,1,26,9,306,129,109,207,59,51,474,387,Wisconsin
3,14,0,8,4,4,2,26,6,180,88,132,173,38,28,350,289,Akron
108,15,1,5,4,5,2,25,7,165,106,81,201,29,28,275,335,Grand_Canyon
165,13,1,10,2,2,3,25,6,156,91,112,152,35,30,303,273,McNeese_St
303,15,3,8,2,2,3,25,8,281,107,102,204,53,54,436,365,Texas_Tech
4,12,3,9,3,4,2,25,8,349,84,140,153,91,59,580,296,Alabama
249,15,2,8,6,2,0,25,8,145,98,92,199,20,29,257,326,Robert_Morris
101,16,1,7,6,2,1,25,8,251,109,112,192,50,59,413,360,George_Mason
329,14,2,7,4,4,1,25,7,191,88,91,149,48,37,330,274,Utah_St
29,12,3,8,3,5,2,25,8,166,108,101,160,38,42,305,310,Bradley
173,13,3,7,3,5,3,25,9,336,115,119,180,57,55,512,350,Michigan
163,17,2,5,5,3,1,25,8,292,131,127,209,53,49,472,389,Maryland
144,9,3,9,2,7,1,25,6,141,92,87,161,35,34,263,287,Liberty
202,15,1,7,4,3,2,25,7,189,92,96,138,46,41,331,271,New_Mexico
323,13,3,9,4,3,0,25,7,186,102,112,224,40,45,338,371,UNC_Wilmington
56,14,2,7,4,4,3,25,9,202,97,81,163,45,41,328,301,Colorado_St
106,13,2,8,2,4,4,25,8,235,110,96,161,45,47,376,318,Gonzaga
128,15,2,6,5,3,2,24,9,272,97,100,193,55,53,427,343,Iowa_St
61,15,2,6,5,3,3,24,10,228,91,86,153,35,40,349,284,Creighton
35,15,2,6,5,3,2,24,9,269,117,94,222,43,55,406,394,BYU
227,12,4,7,4,5,1,24,9,321,118,132,173,65,50,518,341,Oregon
53,12,2,7,5,4,2,23,9,199,123,117,208,53,49,369,380,Col_Charleston
43,11,3,12,3,0,1,23,7,144,80,75,206,18,26,237,312,Central_Conn
161,14,3,7,6,2,1,23,10,247,80,84,148,38,43,369,271,Marquette
15,12,2,8,5,3,3,23,10,190,116,132,183,46,46,368,345,Arkansas_St
25,12,2,6,5,5,3,23,10,192,88,87,148,46,39,325,275,Boise_St
172,13,1,6,7,4,1,23,9,160,117,104,196,32,31,296,344,Miami_OH
270,12,5,7,4,4,1,23,10,291,129,105,219,55,65,451,413,SMU
58,14,2,7,4,2,4,23,10,216,100,78,170,37,42,331,312,Connecticut
146,13,3,10,6,0,0,23,9,173,102,116,199,27,32,316,333,Lipscomb
331,10,0,10,6,3,2,23,8,144,79,80,175,29,35,253,289,Utah_Valley
259,15,2,5,5,3,2,23,9,207,101,104,161,51,46,362,308,San_Francisco
178,18,2,3,7,1,2,22,11,288,120,122,206,81,48,491,374,Missouri
97,10,3,9,5,3,1,22,9,141,81,106,157,24,27,271,265,Furman
176,13,3,5,6,4,2,22,11,319,100,143,179,79,47,541,326,Mississippi
138,15,3,4,6,3,2,22,11,338,99,147,170,77,45,562,314,Kentucky
301,13,3,5,5,4,2,22,10,330,109,133,176,76,49,539,334,Texas_A&M
282,13,4,4,6,5,2,22,12,263,111,117,180,46,60,426,351,St_Joseph's_PA
10,13,3,6,5,3,4,22,12,282,107,106,170,56,51,444,328,Arizona
213,13,1,7,5,2,2,22,8,202,106,102,154,45,47,349,307,North_Texas
190,10,2,9,6,3,1,22,9,141,88,78,183,30,31,249,302,N_Colorado
46,11,3,10,5,1,1,22,9,158,92,112,160,22,32,292,284,Chattanooga
318,15,2,5,5,2,3,22,10,295,131,127,199,60,51,482,381,UCLA
182,12,1,7,8,3,0,22,9,159,71,95,158,37,30,291,259,Montana
209,14,1,7,9,1,0,22,10,143,124,109,213,27,26,279,363,North_Alabama
210,12,3,6,6,4,4,22,13,344,118,132,186,61,58,537,362,North_Carolina
