TeamID,HomeWins,HomeLosses,AwayWins,AwayLosses,NeutralWins,NeutralLosses,TotalWins,TotalLosses,OpponentHomeWins,OpponentHomeLosses,OpponentAwayWins,OpponentAwayLosses,OpponentNeutralWins,OpponentNeutralLosses,OpponentTotalWins,OpponentTotalLosses,TeamName,Ranking,Quadrant
76,15,3,7,4,2,1,24,8,269,111,96,190,54,51,419,352,Duke,1.0,1
17,15,1,5,5,7,1,27,7,276,111,109,176,66,61,451,348,Auburn,2.0,1
115,17,0,7,3,6,1,30,4,296,95,109,181,57,56,462,332,Houston,3.0,1
91,14,1,3,7,7,3,24,11,280,123,121,168,56,54,457,345,Florida,4.0,1
296,14,2,8,3,2,3,24,8,301,91,117,165,76,59,494,315,Tennessee,5.0,1
4,14,2,5,5,2,4,21,11,302,93,127,156,77,51,506,300,Alabama,6.0,1
302,15,2,4,6,4,2,23,10,277,113,94,200,55,51,426,364,Texas Tech,7.0,1
106,12,2,8,2,4,3,24,7,195,90,100,156,43,42,338,288,Gonzaga,8.0,1
128,18,0,5,5,4,2,27,7,263,125,100,197,57,47,420,369,Iowa St.,9.0,1
163,11,6,4,8,1,3,16,17,250,105,95,199,43,44,388,348,Maryland,10.0,1
173,14,4,3,7,2,3,19,14,282,86,110,168,59,44,451,298,Michigan St.,11.0,1
10,15,1,7,4,3,3,25,8,256,71,101,144,49,56,406,271,Arizona,12.0,1
280,13,5,5,6,2,2,20,13,211,110,83,154,45,44,339,308,St. John's (NY),13.0,1
355,14,3,3,9,5,1,22,13,278,92,107,165,50,44,435,301,Wisconsin,14.0,1
138,14,4,7,3,2,2,23,9,272,116,98,185,62,63,432,364,Kentucky,15.0,1
177,6,11,2,10,0,3,8,24,279,109,107,194,61,53,447,356,Missouri,16.0,1
121,15,3,6,5,5,0,26,8,265,99,111,169,50,43,426,311,Illinois,17.0,1
300,10,5,6,6,4,3,20,14,289,110,98,184,68,52,455,346,Texas A&M;,18.0,1
240,16,0,7,3,6,1,29,4,298,76,110,158,55,43,463,277,Purdue,19.0,1
134,15,1,3,7,3,2,21,10,286,99,113,155,61,53,460,307,Kansas,20.0,1
283,13,4,9,0,3,3,25,7,216,95,94,155,50,48,360,298,Saint Mary's (CA),21.0,1
50,12,4,6,6,3,1,21,11,273,102,117,173,58,50,448,325,Clemson,22.0,1
152,7,11,1,10,0,3,8,24,252,128,91,198,46,54,389,380,Louisville,23.0,1
35,16,2,3,7,4,1,23,10,271,111,90,204,60,53,421,368,BYU,24.0,1
172,5,10,2,10,1,4,8,24,296,78,102,162,59,48,457,288,Michigan,25.0,1
161,14,2,7,5,4,2,25,9,228,94,96,147,46,30,370,271,Marquette,26.0,1
