TeamID,HomeWins,HomeLosses,AwayWins,AwayLosses,NeutralWins,NeutralLosses,TotalWins,TotalLosses,OpponentHomeWins,OpponentHomeLosses,OpponentAwayWins,OpponentAwayLosses,OpponentNeutralWins,OpponentNeutralLosses,OpponentTotalWins,OpponentTotalLosses,TeamName
270,15,0,13,0,4,0,32,0,282,101,149,142,57,37,488,280,South_Carolina
88,15,1,13,1,2,1,30,3,175,113,121,177,15,26,311,316,FGCU
323,20,0,10,2,0,0,30,2,167,115,104,167,25,31,296,313,UNLV
50,15,1,12,3,3,0,30,4,145,122,79,204,18,21,242,347,Cleveland_St
57,13,2,10,3,6,0,29,5,232,74,153,91,47,27,432,192,Connecticut
99,14,0,12,3,3,1,29,4,148,110,92,183,15,24,255,317,Gardner_Webb
304,16,1,10,2,2,1,28,4,166,122,113,175,24,23,303,320,Toledo
105,15,1,10,2,3,1,28,4,189,105,132,124,29,22,350,251,Gonzaga
286,17,1,9,3,2,1,28,5,243,106,160,125,44,27,447,258,Stanford
337,11,2,13,1,4,3,28,6,205,94,127,127,32,26,364,247,Villanova
186,17,0,10,3,1,1,28,4,178,84,107,134,20,25,305,243,MTSU
155,15,0,8,1,5,1,28,2,237,121,109,178,37,35,383,334,LSU
250,14,1,9,2,5,2,28,5,187,91,125,145,35,23,347,259,S_Dakota_St
124,16,0,8,2,3,1,27,3,237,110,127,134,36,28,400,272,Indiana
349,14,2,11,2,2,1,27,5,155,93,101,157,17,18,273,268,WI_Green_Bay
339,14,1,8,3,5,0,27,4,242,117,114,169,36,30,392,316,Virginia_Tech
28,11,2,12,4,3,0,26,6,167,114,109,191,19,21,295,326,Bowling_Green
127,15,1,7,4,4,1,26,6,250,108,123,152,47,30,420,290,Iowa
272,14,2,10,1,2,3,26,6,236,118,126,182,35,27,397,327,South_Florida
126,15,2,11,4,0,0,26,6,138,111,96,169,16,14,250,294,Iona
163,12,2,11,2,3,2,26,6,207,154,123,214,33,38,363,406,Massachusetts
317,13,3,7,5,5,1,25,9,231,98,131,144,40,25,402,267,UCLA
206,13,1,8,5,4,0,25,6,133,111,89,204,15,23,237,338,Norfolk_St
217,13,2,8,2,4,1,25,5,250,105,129,161,37,30,416,296,Notre_Dame
221,14,3,9,3,2,0,25,6,208,79,83,146,35,26,326,251,Oklahoma
75,13,1,10,3,2,2,25,6,264,100,135,161,45,34,444,295,Duke
133,10,4,11,3,4,0,25,7,177,114,112,190,24,23,313,327,James_Madison
162,11,2,11,2,3,2,25,6,254,104,134,132,48,40,436,276,Maryland
299,16,2,7,4,2,3,25,9,240,74,118,143,42,27,400,244,Texas
220,11,4,10,2,4,1,25,7,232,117,123,166,36,32,391,315,Ohio_St
64,12,2,10,5,3,0,25,7,136,109,113,161,19,24,268,294,CS_Sacramento
327,14,1,9,3,2,0,25,4,208,103,115,153,33,28,356,284,Utah
19,13,1,9,6,2,1,24,8,178,123,115,180,30,22,323,325,Ball_St
86,12,3,10,3,2,1,24,7,125,113,90,193,12,12,227,318,F_Dickinson
336,14,2,10,4,0,0,24,6,127,113,104,160,11,12,242,285,Vermont
265,12,3,8,3,4,0,24,6,160,118,104,195,15,28,279,341,SF_Austin
243,13,1,8,4,3,1,24,6,201,133,125,214,26,41,352,388,Rhode_Island
27,14,3,10,5,0,0,24,8,134,128,102,176,4,13,240,317,Boston_Univ
122,11,4,10,4,2,0,23,8,170,110,114,141,25,26,309,277,Illinois_St
296,14,4,6,4,3,3,23,11,318,98,174,144,66,32,558,274,Tennessee
22,13,3,9,5,1,3,23,11,186,101,138,135,35,26,359,262,Belmont
93,14,2,7,5,2,2,23,9,274,116,127,193,47,39,448,348,Florida_St
114,10,4,13,4,0,0,23,8,125,129,97,165,5,9,227,303,Holy_Cross
151,11,3,9,5,3,3,23,11,294,111,150,172,46,38,490,321,Louisville
56,9,2,13,2,1,1,23,5,157,100,108,150,19,22,284,272,Columbia
54,13,2,9,5,1,1,23,8,226,95,121,150,36,34,383,279,Colorado
174,14,2,7,4,2,2,23,8,253,117,129,179,38,28,420,324,Mississippi
237,12,2,10,3,1,0,23,5,162,83,114,120,26,28,302,231,Princeton
346,9,5,10,4,4,1,23,10,217,89,127,132,34,27,378,248,Washington_St
81,15,3,7,6,1,0,23,9,187,116,108,186,23,33,318,335,East_Carolina
280,14,3,6,4,2,1,22,8,166,91,114,138,29,20,309,249,St_John's
214,12,4,8,5,2,0,22,9,178,99,117,139,34,23,329,261,Northern_Iowa
143,12,1,9,5,1,2,22,8,173,102,113,180,24,16,310,298,Liberty
