TeamID,HomeWins,HomeLosses,AwayWins,AwayLosses,NeutralWins,NeutralLosses,TotalWins,TotalLosses,OpponentHomeWins,OpponentHomeLosses,OpponentAwayWins,OpponentAwayLosses,OpponentNeutralWins,OpponentNeutralLosses,OpponentTotalWins,OpponentTotalLosses,TeamName
299,15,0,10,2,6,1,31,3,318,117,177,161,71,55,566,333,Texas
294,19,0,7,2,5,1,31,3,283,125,131,183,51,47,465,355,TCU
57,13,1,10,2,8,0,31,3,239,88,158,113,54,37,451,238,Connecticut
317,12,1,10,1,8,0,30,2,298,122,162,146,62,42,522,310,UCLA
271,14,1,8,2,8,0,30,3,331,106,162,143,88,49,581,298,South_Carolina
107,17,0,9,2,4,0,30,2,147,119,99,175,30,34,276,328,Grand_Canyon
324,14,1,9,1,5,1,28,3,274,128,151,143,61,41,486,312,USC
234,14,2,11,1,3,1,28,4,130,122,96,164,18,36,244,322,Portland
132,14,1,12,2,2,2,28,5,218,114,151,188,42,47,411,349,James_Madison
207,11,0,12,2,5,2,28,4,159,106,116,174,43,35,318,315,Norfolk_St
242,13,1,12,2,3,1,28,4,161,102,121,179,16,12,298,293,Quinnipiac
155,17,1,6,3,5,1,28,5,318,121,165,176,61,49,544,346,LSU
182,12,1,10,2,6,0,28,3,150,87,99,148,24,25,273,260,Montana_St
88,17,1,9,2,2,0,28,3,163,91,122,165,21,22,306,278,FGCU
246,12,2,11,1,4,3,27,6,235,124,164,182,46,41,445,347,Richmond
350,12,2,11,2,4,1,27,5,159,88,108,143,23,32,290,263,WI_Green_Bay
266,11,1,10,4,6,0,27,5,125,106,117,154,27,19,269,279,SF_Austin
251,12,1,11,1,4,1,27,3,177,69,95,136,39,30,311,235,S_Dakota_St
86,15,0,12,3,0,0,27,3,127,119,73,199,11,12,211,330,F_Dickinson
209,12,4,9,1,6,2,27,7,314,121,173,173,63,50,550,344,North_Carolina
87,12,1,12,3,3,0,27,4,159,109,103,167,18,23,280,299,Fairfield
20,15,2,8,2,4,3,27,7,285,124,125,194,47,47,457,365,Baylor
187,13,0,10,5,3,3,26,8,196,89,114,170,28,26,338,285,MTSU
19,12,2,10,3,4,2,26,7,188,112,135,161,34,30,357,303,Ball_St
196,16,0,7,3,3,3,26,6,315,105,169,144,61,48,545,297,NC_State
75,13,1,8,6,5,0,26,7,324,106,176,138,68,54,568,298,Duke
60,11,1,11,3,4,2,26,6,207,89,130,117,48,37,385,243,Creighton
142,16,1,10,5,0,0,26,6,141,119,103,166,13,17,257,302,Lehigh
134,17,1,6,4,3,2,26,7,300,109,151,178,51,54,502,341,Kansas_St
218,14,1,11,1,1,3,26,5,301,124,151,162,59,42,511,328,Notre_Dame
100,13,1,10,3,3,1,26,5,185,142,131,168,35,41,351,351,George_Mason
326,13,0,11,3,2,1,26,4,189,117,107,181,32,39,328,337,UT_San_Antonio
323,17,1,8,5,0,1,25,7,183,124,121,144,34,39,338,307,UNLV
223,17,1,6,3,2,2,25,6,253,121,121,185,42,47,416,353,Oklahoma_St
222,13,2,8,3,4,2,25,7,282,120,151,167,66,52,499,339,Oklahoma
214,11,1,11,5,3,1,25,7,190,90,120,141,31,30,341,261,Northern_Arizona
290,15,1,10,5,0,0,25,6,147,112,88,185,13,16,248,313,SUNY_Albany
188,12,2,10,5,3,0,25,7,153,100,97,178,30,29,280,307,Murray_St
179,14,0,9,5,2,3,25,8,172,121,111,183,25,43,308,347,Missouri_St
